"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"RUEBEN OWENS II","TEXAS A&M",4,"HB",2026,"SEC",66.1,5,11,34,3.1,1,2,0,0,0,13,1.2,21,1.9,0,0.182,0,0,0,"TEXAS A&M",4,"SEC",58.6,1,14,0,1,1,7,7,0,0,0,0,0,1,0,0,13,13,4,0,0.5,-6,0,0,"100%","0.00%","0.00%",95.8,0,0.071,0,"100%","SEC","P4",49,24.48,"D"
"TY CLARK III","WAKE",4,"HB",2026,"ACC",62,5,12,36,3,1,3,0,0,2,3,0.3,33,2.8,0,0.25,0.17,0,0,"WAKE",4,"ACC",53.2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",37,23.79,"D"
"AYO ADEYI","OKLA STATE",25,"HB",2026,"Big 12",62.5,3,6,24,4,0,2,0,0,1,10,1.7,14,2.3,0,0.333,0.17,1,0.333,"OKLA STATE",25,"Big 12",56.3,0,10,0,2,1,5,5,0,0,0,0,0,1,0,0,7,7,3,0,0.5,-2,0,0,"100%","0.00%","0.00%",56.3,0,0.2,0,"50.00%","Big 12","P4",22,23.22,"D"
"CJ CAMPBELL","DUKE",0,"HB",2026,"ACC",67.1,4,9,34,3.8,0,2,0,0,1,4,0.4,30,3.3,0,0.222,0.11,1,0.333,"DUKE",0,"ACC",56.1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",28,22.16,"D"
"JAMARION MORROW","TEXAS A&M",2,"HB",2026,"SEC",66.1,4,8,27,3.4,0,0,0,0,1,13,1.6,14,1.8,0,0,0.13,0,0,"TEXAS A&M",2,"SEC",67.8,2,10,0,2,2,18,9,0,1,0,0,0,2,0,0,16,8,8,0,1.8,1,0,1,"100%","0.00%","0.00%",104.2,0,0.2,0,"100%","SEC","P4",19,21.71,"D"
"MARTAVIOUS BOSWELL","W VIRGINIA",20,"HB",2026,"Big 12",68.1,4,8,31,3.9,0,3,0,0,2,0,0,31,3.9,0,0.375,0.25,1,0,"W VIRGINIA",20,"Big 12",59.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big 12","P4",NA,21.58,"D"
"BRYSON WASHINGTON","AUBURN",30,"HB",2026,"SEC",61.7,3,7,44,6.3,0,2,0,0,0,28,4,16,2.3,0,0.286,0,1,0,"AUBURN",30,"SEC",58.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",10,20.8,"D"
"CAM SETTLES","ARKANSAS",27,"HB",2026,"SEC",60,3,6,25,4.2,0,1,0,0,2,2,0.3,23,3.8,0,0.167,0.33,0,0.167,"ARKANSAS",27,"SEC",58.2,0,13,0,2,1,1,1,0,0,0,0,0,1,0,0,8,8,3,0,0.08,-1,0,0,"100%","0.00%","0.00%",56.3,0,0.154,0,"50.00%","SEC","P4",NA,19.38,"F"
"JORDON DAVISON","OREGON",0,"HB",2026,"Big Ten",65.7,3,8,23,2.9,1,2,0,0,0,2,0.3,21,2.6,0,0.25,0,1,0.125,"OREGON",0,"Big Ten",39.5,1,17,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.5,0,0,"0.00%","100%","50.00%",39.6,0,0.118,0,"0.00%","Big Ten","P4",36,18.85,"F"
"KOLIN WILSON","MISS STATE",6,"HB",2026,"SEC",63.4,4,12,29,2.4,0,3,0,0,2,7,0.6,22,1.8,0,0.25,0.17,0,0.083,"MISS STATE",6,"SEC",57.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",18,18.8,"F"
"DARIUS TAYLOR","MINNESOTA",1,"HB",2026,"Big Ten",59.7,2,6,15,2.5,0,2,0,0,0,10,1.7,5,0.8,0,0.333,0,0,0.333,"MINNESOTA",1,"Big Ten",62.6,0,5,0,1,1,5,5,0,0,0,0,0,1,0,0,2,2,0,0,1,3,0,0,"100%","0.00%","0.00%",87.5,0,0.2,0,"100%","Big Ten","P4",29,18.22,"F"
"DARIUS TAYLOR","MINNESOTA",1,"HB",2026,"Big Ten",59.7,2,6,15,2.5,0,2,0,0,0,10,1.7,5,0.8,0,0.333,0,0,0.333,"MINNESOTA",1,"Big Ten",62.6,0,5,0,1,1,5,5,0,0,0,0,0,1,0,0,2,2,0,0,1,3,0,0,"100%","0.00%","0.00%",87.5,0,0.2,0,"100%","Big Ten","P4",5,18.22,"F"
"BRYAN JACKSON II","WISCONSIN",21,"HB",2026,"Big Ten",56.6,2,10,40,4,0,2,0,0,1,14,1.4,26,2.6,0,0.2,0.1,1,0,"WISCONSIN",21,"Big Ten",57.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Ten","P4",NA,17.59,"F"
"JAY HARRIS","KANSAS ST",9,"HB",2026,"Big 12",73.1,5,6,33,5.5,0,2,0,0,1,14,2.3,19,3.2,0,0.333,0.17,1,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,"Big 12","P4",9,17.37,"F"
"TERRELL WALDEN II","MIAMI FL",20,"HB",2026,"ACC",63.2,2,7,25,3.6,0,2,0,0,1,7,1,18,2.6,0,0.286,0.14,1,0.143,"MIAMI FL",20,"ACC",58.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",NA,16.91,"F"
"ANTHONY WOODS","UCLA",6,"HB",2026,"Big Ten",62.2,2,8,30,3.8,0,3,0,0,0,14,1.8,16,2,0,0.375,0,0,0,"UCLA",6,"Big Ten",57.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Ten","P4",17,15.39,"F"
