"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Kareem Hector","STNY BROOK",38,70.36,"B",68,65.9,70.4,NA,4,2,0,NA,63.2,1,16.3,1,9.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,2,2,2,3,"50.00%",28,1,1,"0.00%","0.00%","16.70%","0.00%","16.70%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Sabin McLaughlin","GARD-WEBB",40,70.29,"B",71.2,68,72,59.5,4,1,0,NA,81.3,1,11.3,1.21,8.5,9.33,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,"0.00%",0,0,0,1,1,1,1,2,"66.70%",17,1,1,"0.00%","0.00%","33.30%","0.00%","33.30%","0.00%","0.00%",0,0,0,0,0,0,0,0
"Charron Dorsey","SCAR STATE",19,70.11,"B",68.7,65.7,66.6,NA,1,0,1,NA,39.6,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Zakaa Brown","TOWSON",63,69.9,"B",68.1,61.9,84.6,NA,4,2,0,NA,42.4,0,5.7,0.03,1,10,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,"33.30%",0,0,0,2,3,2,0,1,"33.30%",1,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","25.00%","50.00%",4,0,0,2,NA,0,0,0
"Alex Herrera Jr.","MOREHEAD",21,69.75,"B",71.1,76.6,53.4,NA,NA,0,0,NA,39.6,1,25,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,1,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%",NA,NA,0,0,0,0,NA,0,0,0
"Mason Edwards","MCNEESE",66,69.75,"B",76.5,76.3,62.8,NA,2,0,0,NA,75.3,3,11.6,0.88,10.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,2,2,3,4,"57.10%",43,2,3,"4.10%","0.00%","28.60%","0.00%","42.90%","0.00%","33.30%",4,0,0,0,NA,0,0,2
"Ty Pringle","SO UTAH",15,69.66,"B",77.3,76.1,60.9,NA,1,0,0,NA,39.6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Remington Moss","ELON",72,69.42,"B",62.9,60,69,NA,3,1,2,NA,39.6,1,10,0.29,10,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,3,3,1,1,"25.00%",10,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Romero Lavalais Jr.","ALBANY",19,68.75,"B",74.9,75,62.1,NA,2,0,1,NA,82.6,1,18,2,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,1,2,2,"66.70%",18,1,1,"11.10%","0.00%","33.30%","0.00%","33.30%","0.00%","0.00%",1,0,0,0,NA,0,0,1
"Tamal Johnson","WEBER ST",22,68.48,"B",70.9,71.1,61.5,NA,2,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Jackson Dowd","LEHIGH",35,68.45,"B",70.6,70.9,64.2,59.7,4,2,1,NA,56.3,0,3,0.26,5,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,"20.00%",1,1,0,2,1,0,1,1,"50.00%",5,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","25.00%","0.00%",3,0,0,0,0,0,0,0
"Justyn Toler","COLGATE",67,68.38,"B",67.9,69.2,61.4,NA,7,1,2,NA,0,0,0,0,0,4.67,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"12.50%",2,0,0,1,1,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","20.00%","0.00%",5,0,0,0,NA,0,0,0
"Johnny Hutton III","FL A&M",36,68.18,"B",73.2,72.1,68.5,NA,3,1,0,NA,56.3,0,12.5,0.33,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,1,"50.00%",5,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Terrell Poyser","W CAROLINA",18,67.91,"B",71.5,71.4,60.6,NA,1,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Jocelyn Malaska","ABILENE CH",40,67.29,"B",71.5,70.8,65.4,NA,NA,0,0,NA,39.6,0,30,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,1,0,0,1,NA,0,0,0
"Doreon Dubose","ILL STATE",49,66.64,"B",60.3,63.3,63.1,NA,4,1,2,NA,26.7,0,8.2,0.63,5.7,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,4,3,2,3,"60.00%",17,0,0,"0.00%","0.00%","0.00%","20.00%","0.00%","0.00%","20.00%",4,0,1,1,NA,0,0,0
"Ty Lee","SOUTHERN U",26,66.45,"B",68.7,68.2,64.5,NA,5,1,0,NA,0,0,0,0,0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Trevon Baxter","STHLSK",55,66.33,"B",67,65.2,69.3,NA,3,0,1,NA,87.5,1,15.8,0.19,2.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,2,2,2,2,"40.00%",5,1,1,"0.00%","0.00%","20.00%","0.00%","20.00%","0.00%","0.00%",3,0,0,1,NA,0,0,0
"Chris Hudson","NEWHVN",43,66.29,"B",66,64.1,66.3,NA,7,3,0,NA,68.8,1,8.5,1.5,12,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"12.50%",0,0,0,3,3,2,1,2,"50.00%",24,1,1,"0.00%","0.00%","25.00%","0.00%","25.00%","20.00%","0.00%",4,0,0,1,NA,0,0,0
"David Williams","GARD-WEBB",33,66.26,"B",71.8,71.7,62.9,NA,1,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Keon Powell","ALBANY",48,66,"B",71.1,71.8,64,60,1,1,0,NA,39.6,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,0,0,0,0
"Alonzo Riddick","FORDHAM",28,65.87,"B",56.3,66.2,65.4,45.8,1,0,0,NA,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"0.00%",0,0,2,0,2,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,50,2,0,0
"Farand Washington","TENN MARTN",38,65.87,"B",69.7,65.1,72.5,NA,2,0,1,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"James Monds III","DUQUESNE",35,65.8,"B",65.1,63,62.4,63.8,2,1,1,NA,39.6,0,25,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,2,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,0,0,0,0
"Terry Lewis II","MURRAY ST",47,64.9,"B",65.2,63,70.6,NA,4,0,2,NA,122.2,2,14.2,1.75,18.7,-2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"20.00%",1,2,0,0,3,3,3,3,"50.00%",56,2,2,"6.30%","0.00%","33.30%","0.00%","33.30%","0.00%","25.00%",5,0,0,1,NA,0,0,2
"Avery Scott","N DAKOTA",16,64.82,"B",69.6,66.5,69.1,60,2,0,1,NA,39.6,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33.30%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,2,0,0,0,0
"Ezekiel Swayne","SAN DIEGO",37,64.71,"B",72.3,71.3,65.1,NA,5,1,0,NA,116.7,1,19.8,2.25,18,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,1,3,"75.00%",54,1,1,"4.20%","0.00%","25.00%","0.00%","25.00%","0.00%","0.00%",3,0,0,0,NA,0,0,1
"Davonta Morgan Collins","STF AUSTIN",38,64.67,"B",63.9,62.8,64.7,NA,3,0,0,NA,46.5,2,15.3,1.38,12,12,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"25.00%",0,0,0,0,4,4,3,3,"33.30%",36,3,3,"3.90%","0.00%","33.30%","0.00%","33.30%","0.00%","33.30%",3,0,0,3,NA,0,0,1
"Bertin Placide","MERRIMACK",32,64.6,"B",66.8,65.1,62.3,NA,1,0,1,NA,42.4,1,15.3,0.32,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,1,1,1,"33.30%",6,0,1,"0.00%","0.00%","0.00%","0.00%","33.30%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"CJ Gilmore","E TENN ST",25,64.57,"B",63.1,64.9,55.4,NA,1,0,0,NA,39.6,0,46,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,1,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Keith Moko","CENT CT ST",42,64.53,"B",51.3,50.2,60,60,5,1,2,NA,62.1,2,24.2,1.6,16,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,1,6,5,2,2,"40.00%",32,1,2,"5.00%","0.00%","20.00%","0.00%","40.00%","0.00%","0.00%",3,0,0,0,0,0,0,1
"Devin Brown","W CAROLINA",23,64.24,"B",66,66.4,61.7,NA,4,1,0,NA,39.6,0,13,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Brandon Ross","NWSTATE",59,64.13,"B",67.2,68.8,59.6,NA,3,0,2,NA,39.6,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,1,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Lamont Payne","DELWARE ST",65,63.38,"B",63.2,61.5,66.8,NA,1,0,0,NA,39.6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Isaac Nyenabo","W GEORGIA",17,63.33,"B",69.4,72.1,61.5,NA,4,0,1,NA,79.2,0,-6,-0.25,-1,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,0,1,1,"100%",-1,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Boston Wilson","CAL POLY",43,63.28,"B",67.6,66.1,67.2,NA,3,1,1,NA,88.5,1,7.5,0.92,7.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,2,2,2,3,"75.00%",23,1,1,"0.00%","0.00%","25.00%","0.00%","25.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Tywan Royal","AUSTINPEAY",25,63.13,"B",75.3,75,61.3,NA,2,0,1,NA,75.7,0,10.3,0.93,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.00%",0,0,0,0,0,0,1,2,"66.70%",13,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Ryan Tillman","UTAHTC",45,63.09,"B",66.8,73.5,49.9,NA,6,1,2,NA,86.5,1,5.4,1.5,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,4,3,3,6,"75.00%",42,1,1,"0.00%","0.00%","12.50%","0.00%","12.50%","0.00%","0.00%",5,0,0,1,NA,0,0,0
"Sammy Draper","GRAMBLING",16,62.99,"B",68.6,63.8,69.8,NA,3,0,0,NA,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Adrian Patterson","SE MO ST",44,62.59,"B",67.3,69.9,65.8,NA,5,0,2,NA,100.5,2,27.1,7.88,37.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,3,2,2,5,"55.60%",189,4,2,"16.70%","0.00%","44.40%","0.00%","22.20%","0.00%","0.00%",4,0,0,2,NA,0,0,4
"Erv Wiggins Jr.","MAINE",49,62.44,"B",70.1,66.4,72.9,NA,1,0,0,NA,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Evin McDowell","MERCER",26,62.24,"B",67.2,66.2,64.9,59.8,1,1,0,NA,39.6,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,0,0,0,0
"Justin Ferguson","MERCER",31,62.1,"B",64.2,62,67.5,NA,3,0,1,NA,16.7,0,6.5,0.25,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25.00%",1,0,0,0,2,2,1,2,"50.00%",4,1,1,"0.00%","0.00%","25.00%","25.00%","25.00%","0.00%","50.00%",4,0,1,0,NA,0,0,0
"Brandon Chambers Jr.","YNGTOWN ST",36,62.09,"B",61.2,60.1,62.7,NA,3,0,1,NA,39.6,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,2,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Christian Oku","ABILENE CH",69,62.01,"B",69.2,72.7,52.9,NA,4,2,1,NA,79.2,1,13.4,0.36,13,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,2,4,2,3,1,"20.00%",13,1,1,"0.00%","0.00%","20.00%","0.00%","20.00%","33.30%","33.30%",2,0,0,3,NA,0,0,0
"Trenton Bell","GARD-WEBB",19,61.99,"B",70.2,70.2,61.9,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,1,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,0,NA,0,0,0
"Sage Salopek","MONTANA",52,61.96,"B",69.4,68,67.9,NA,3,0,1,NA,62.5,0,15.8,0.58,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,1,1,1,2,"50.00%",18,1,0,"0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"O.C. Nurse","VALPO",72,61.68,"B",63.8,67.6,48.7,NA,10,2,5,NA,109.7,0,11.3,1.17,20.5,3.67,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"9.10%",3,0,0,2,4,2,2,2,"66.70%",41,2,1,"5.70%","0.00%","66.70%","0.00%","33.30%","20.00%","0.00%",8,0,0,1,NA,0,0,2
"Deandre Creary","AUSTINPEAY",23,61.57,"B",66.7,65.4,64.4,NA,1,0,1,NA,39.6,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Maximillian Johnson","YNGTOWN ST",19,61.3,"B",66.9,66.4,60.4,NA,2,0,1,NA,45.8,1,11.3,2.09,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,2,2,2,2,"33.30%",23,1,1,"9.10%","0.00%","16.70%","0.00%","16.70%","0.00%","0.00%",2,0,0,3,NA,0,0,1
"Braden Cervello","UTAHTC",15,61.27,"B",69.7,64.9,60.7,67.9,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,1,0,0,0,0,0,NA,NA,0,1,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,0,50,1,0,0
"Brodie Williams","NEWHVN",38,60.85,"B",59.1,64.8,54.2,59.8,5,1,3,NA,39.6,0,29,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,"37.50%",3,0,0,1,3,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","37.50%","0.00%",4,0,0,1,0,0,0,0
"DeMarkus Boykin","MURRAY ST",23,60.77,"B",63.1,60.6,66.6,NA,3,0,2,NA,47.9,0,11.6,0.6,4.5,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,1,1,0,2,"40.00%",9,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,2,NA,0,0,0
"Brayren Briscoe","GRAMBLING",19,60.76,"B",65.6,64.8,62.3,NA,2,0,1,NA,58.3,0,12.5,0.88,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"0.00%",0,0,1,0,1,1,1,1,"50.00%",7,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"DonPaul Keith","W ILLINOIS",40,60.74,"B",71.8,72.1,63.6,NA,2,0,2,NA,97.9,0,6.5,0.94,7.5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,2,"100%",15,0,0,"0.00%","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Tayden Gray","MONTANA ST",22,60.7,"B",60.2,65.5,65.4,58.9,1,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,1,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,0,0,0,0
"Justin Johnson","FORDHAM",36,60.67,"B",66.5,64.7,67.8,NA,4,1,1,NA,97.9,1,1.5,0.68,7.5,11.5,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"20.00%",0,0,0,1,2,2,1,2,"100%",15,1,1,"0.00%","0.00%","50.00%","0.00%","50.00%","0.00%","33.30%",1,0,0,0,NA,0,0,0
"Donny Jones","ALBANY",48,60.59,"B",60.7,54.2,79,NA,4,0,2,NA,60.4,0,12.8,0.73,8,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,0,2,2,0,2,"50.00%",16,1,0,"0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Jaylen Boehm-Peterson","S DAKOTA",44,60.56,"B",70.9,70.9,62.9,NA,2,0,1,NA,111.1,1,16.8,1.48,13.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0.00%",0,0,0,0,1,1,2,3,"50.00%",40,1,1,"3.70%","0.00%","16.70%","0.00%","16.70%","0.00%","0.00%",2,0,0,2,NA,0,0,1
"Kasahn Johnson","SO UTAH",25,60.51,"B",71.8,72,62.4,59.6,2,0,1,NA,79.2,0,-5,-0.42,-5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,0,0,1,1,"100%",-5,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,0,0,0,0
"Noah St-Juste","S DAK ST",15,60.11,"B",65.3,62.5,64.3,NA,1,0,0,NA,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Ethan Washington","FURMAN",41,59.64,"C",68.4,67.5,64.6,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,0,NA,0,0,0
"Omar Ibrahim","MONMOUTH",31,59.63,"C",58.8,58.4,59.8,NA,3,0,1,NA,42.4,1,27,3.67,44,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,3,2,2,1,"33.30%",44,1,2,"8.30%","0.00%","33.30%","33.30%","66.70%","0.00%","0.00%",4,0,1,0,NA,0,0,1
"Christen Williams","GRAMBLING",28,59.31,"C",62.4,62.2,61.2,59.3,4,1,1,NA,70.1,0,1,0.53,4.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"0.00%",0,0,1,1,2,2,2,2,"66.70%",9,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,1,16.7,0,0,0
"Ryan Tyler Williams","BRYANT",27,59.15,"C",66.2,66.4,63.2,56.5,1,0,0,NA,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,0,0,0,0
"Corday Bethel","MERRIMACK",23,59.11,"C",66.8,64.7,66.9,NA,1,0,0,NA,39.6,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Michael Evans","SCAR STATE",17,59.07,"C",68,64.6,67.2,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,0,NA,0,0,0
"Geovanny Fabian","DELWARE ST",36,59.06,"C",71.6,71,65.4,NA,2,0,2,NA,122.9,0,14,3.17,19,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,1,1,3,2,"50.00%",38,1,1,"8.30%","0.00%","25.00%","0.00%","25.00%","0.00%","0.00%",3,0,0,1,NA,0,0,1
"Jackson Waid","TXRG",48,58.75,"C",65.2,61.4,68.7,59.5,3,0,2,NA,39.6,0,-2,0,0,-0.33,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"40.00%",2,2,0,0,2,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","25.00%","100%",3,0,0,1,0,0,0,0
"Tehron Spencer","CHISTA",37,58.43,"C",69.4,69.2,61.7,NA,5,0,1,NA,102.6,1,10.6,1.48,9.3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"16.70%",0,1,0,0,3,3,3,4,"50.00%",37,2,2,"4.00%","0.00%","25.00%","0.00%","25.00%","0.00%","16.70%",5,0,0,1,NA,0,0,1
