"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Alex Voss","ELON",51,26.05,"D",8,"WR",2026,"CAA",58.2,2,24,4,5,2,38,19,0,1,1,0,0,3,2,1,2,1,2,0.5,1.58,20,1,0,0.667,0.333,"40.00%",27.5,0.083,0.208,0.6,0.4,"FCS",0.4,7.6,0.208333333333333
"Santana Carlos","W CAROLINA",35,25.96,"D",10,"WR",2026,"Southern",56.5,3,26,8,5,2,26,13,0,1,0,0,0,2,0,0,11,5.5,3,0,1,24.6,1,0,1,0,"0.00%",57.1,0,0.192,0.6,0.4,"FCS",0.4,5.2,0.192307692307692
"Jaquan McGee","TEXAS STHN",48,25.95,"D",5,"WR",2026,"SWAC",59,1,21,5,4,2,26,13,0,1,0,0,0,2,0,0,17,8.5,8,0,1.24,11.3,1,0,1,0,"0.00%",70.8,0.095,0.191,0.25,0.5,"FCS",0.5,6.5,0.19047619047619
"Joseph Young","LIUSHAR",60,25.86,"D",5,"WR",2026,"Northeast",56.9,2,27,9,4,2,9,4.5,1,1,0,0,0,2,0,0,11,5.5,1,0,0.33,14.8,0,0,1,0,"0.00%",95.8,0,0.148,0.25,0.5,"FCS",0.5,2.25,0.148148148148148
"Deuce Oliver","TENN MARTN",41,25.81,"D",1,"WR",2026,"Big South - OVC Football Association",59.2,4,26,1,8,6,25,4.2,0,2,0,0,0,6,0,0,14,2.3,3,0,0.96,2.6,0,0,1,0,"0.00%",77.6,0.308,0.308,0,0.75,"FCS",0.75,3.125,0.307692307692308
"Nae'Saan Dickerson","GRAMBLING",27,25.7,"D",11,"WR",2026,"SWAC",65,4,20,7,6,2,19,9.5,0,2,0,0,0,2,0,0,8,4,7,0,0.95,6.2,0,1,1,0,"0.00%",43.1,0,0.3,0,0.333,"FCS",0.333333333333333,3.16666666666667,0.3
"Zae-Mear Correll","DUQUESNE",40,25.54,"D",6,"WR",2026,"Northeast",59.8,1,23,4,6,3,31,10.3,0,1,0,0,0,3,2,0,3,1,1,0,1.35,10.2,1,0,1,0,"33.30%",65.3,0.043,0.261,0.167,0.5,"FCS",0.5,5.16666666666667,0.260869565217391
"Tanner Harrison","TXAMEA",60,24.95,"D",5,"WR",2026,"Southland",62.5,5,24,5,5,3,37,12.3,0,3,1,0,0,4,0,0,4,1.3,1,0,1.54,10.8,1,0,0.75,0.25,"0.00%",43.3,0,0.208,0,0.6,"FCS",0.6,7.4,0.208333333333333
"Dylan Evans","MERCYHURST",37,24.75,"D",23,"WR",2026,"Northeast",61.4,4,23,10,7,5,37,7.4,0,2,1,0,0,6,0,0,10,2,6,0,1.61,7.3,0,0,0.833,0.167,"0.00%",44,0,0.304,0,0.714,"FCS",0.714285714285714,5.28571428571429,0.304347826086957
"AJ Colombo","W CAROLINA",44,24.73,"D",0,"WR",2026,"Southern",55.6,5,29,1,2,2,17,8.5,0,1,0,0,0,2,0,0,16,8,14,0,0.59,0.5,0,1,1,0,"0.00%",102.1,0.069,0.069,0,1,"FCS",1,8.5,0.0689655172413793
