"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"HUNTER PROVIENCE","NC STATE",57,13.21,"F",86,"TE",2026,"ACC",60.1,1,19,1,3,1,18,18,0,1,0,0,0,1,0,0,0,0,0,0,0.95,17.7,1,0,1,0,"0.00%",15.3,0.053,0.158,0.333,0.333,86,53.8,68.8,48.2,"P4"
"CHASE LOFTIN","FLORIDA ST",13,12.76,"F",23,"TE",2026,"ACC",64.6,1,8,0,2,1,8,8,0,1,0,0,0,1,0,0,4,4,4,0,1,-1.5,0,0,1,0,"0.00%",20.8,0.25,0.25,0,0.5,23,65.5,68.4,60.2,"P4"
"JADEN REDDELL","GEORGIA",27,12.48,"F",23,"TE",2026,"SEC",52.9,2,12,0,2,1,7,7,0,0,0,0,0,1,0,0,8,8,6,0,0.58,4,0,0,1,0,"0.00%",58.3,0.083,0.167,0,0.5,23,59.5,67.4,67.5,"P4"
"KADEN FEAGIN","ILLINOIS",23,12.12,"F",83,"TE",2026,"Big Ten",54.9,1,12,1,2,2,9,4.5,0,0,0,0,0,2,0,0,10,5,3,0,0.75,-0.5,0,0,1,0,"0.00%",85.4,0,0.167,0,1,83,52.9,67.4,47.6,"P4"
"DORIAN THOMAS","CAL",22,12.08,"F",0,"TE",2026,"ACC",60.9,2,13,1,3,1,7,7,0,1,0,0,0,2,1,0,4,4,1,0,0.54,5.3,0,0,0.5,0,"33.30%",42.4,0.154,0.231,0,0.333,0,62,NA,62.1,"P4"
"DOMINICK BARRY","WAKE",27,11.52,"F",84,"TE",2026,"ACC",51.4,0,16,2,1,1,6,6,0,1,0,0,0,1,0,0,3,3,2,0,0.38,3,0,0,1,0,"0.00%",91.7,0,0.063,0,1,84,52.5,68,58.7,"P4"
"DECKER DEGRAAF","WASHINGTON",39,11.49,"F",86,"TE",2026,"Big Ten",51.8,0,19,0,2,1,10,10,0,1,0,0,0,0,0,0,12,12,1,0,0.53,7,0,0,0,0,"0.00%",64.6,0,0.105,0,0.5,86,55.5,71.7,65.9,"P4"
"WILL LOERZEL","WAKE",33,11.46,"F",85,"TE",2026,"ACC",52.3,3,20,1,3,1,15,15,0,1,1,0,0,2,0,0,4,4,2,0,0.75,6.7,1,0,0.5,0.5,"0.00%",50.7,0,0.15,0,0.333,85,49,69.8,46,"P4"
"ETHAN BARBOUR","GEORGIA",29,11.18,"F",9,"TE",2026,"SEC",56.4,0,5,0,1,1,5,5,0,0,0,0,0,1,0,0,4,4,2,0,1,1,0,0,1,0,"0.00%",87.5,0,0.2,0,1,9,65.5,71.7,67.2,"P4"
"CHICO HOLT","STANFORD",17,10.86,"F",84,"TE",2026,"ACC",53.7,0,12,0,1,1,10,10,0,0,0,0,0,1,0,0,9,9,0,0,0.83,1,0,0,1,0,"0.00%",108.3,0,0.083,0,1,84,57.9,67.7,69.1,"P4"
