"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Jesse Miller","S DAKOTA",44,13.82,"F",83,"TE",2026,"Missouri Valley",49,0,28,0,1,1,5,5,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0.18,5,0,0,"100%","0.00%","0.00%",87.5,"0.00%","3.60%","0.00%","100%","FCS"
"Graham Smith","YALE",52,13.82,"F",9,"TE",2026,"Ivy",62.2,1,24,2,1,1,28,28,1,1,0,0,0,1,0,0,7,7,3,"0.00%",1.17,21,1,0,"100%","0.00%","0.00%",158.3,"0.00%","4.20%","100%","100%","FCS"
"Connie Hewitt II","TENN MARTN",16,13.82,"F",88,"TE",2026,"Big South - OVC Football Association",54.9,0,7,0,1,1,2,2,0,0,0,0,0,1,0,0,2,2,2,"0.00%",0.29,0,0,0,"100%","0.00%","0.00%",79.2,"0.00%","14.30%","0.00%","100%","FCS"
"Haven Mullins","WM & MARY",12,13.82,"F",89,"TE",2026,"Patriot",62.3,0,1,0,1,1,-6,-6,0,0,0,0,0,1,0,0,2,2,0,"0.00%",-6,-8,0,0,"100%","0.00%","0.00%",79.2,"0.00%","100%","0.00%","100%","FCS"
"Kealen Juniel","CENT ARK",46,13.82,"F",6,"TE",2026,"United Athletic",67.4,2,12,0,1,1,11,11,0,1,0,0,0,1,0,0,1,1,1,"0.00%",0.92,10,0,0,"100%","0.00%","0.00%",112.5,"0.00%","8.30%","0.00%","100%","FCS"
"Jackson Kostmayer","MERCER",34,13.82,"F",14,"TE",2026,"Southern",84,1,5,0,1,1,20,20,0,1,0,0,0,1,1,1,1,1,1,"100%",4,19,1,0,"100%","0.00%","100%",118.8,"20.00%","20.00%","0.00%","100%","FCS"
"Sanders Daniell","HARVARD",25,13.82,"F",84,"TE",2026,"Ivy",54.9,1,6,1,1,1,3,3,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.5,2,0,0,"100%","0.00%","0.00%",79.2,"0.00%","16.70%","0.00%","100%","FCS"
"Vashawn Nalls","E TENN ST",11,13.82,"F",19,"TE",2026,"Southern",59.7,0,2,0,1,1,5,5,0,0,0,0,0,0,0,0,3,3,0,"0.00%",2.5,2,0,0,"0.00%","0.00%","0.00%",87.5,"0.00%","50.00%","0.00%","100%","FCS"
"Jack Bohm-Squicciarini","BUCKNELL",45,13.82,"F",81,"TE",2026,"Patriot",89.6,1,8,0,1,1,8,8,0,1,0,0,0,1,0,0,-1,-1,-1,"0.00%",1,9,0,0,"100%","0.00%","0.00%",100,"0.00%","12.50%","0.00%","100%","FCS"
"Adyn Wilkinson","SE LA",16,13.82,"F",85,"TE",2026,"Southland",58.6,1,2,0,1,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,"0.00%",-0.5,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","50.00%","0.00%","100%","FCS"
"Brady Ambrose","CAMPBELL",39,13.82,"F",88,"TE",2026,"CAA",56.6,2,21,0,1,1,4,4,1,1,0,0,0,1,0,0,0,0,0,"0.00%",0.19,9,0,0,"100%","0.00%","0.00%",122.9,"0.00%","4.80%","0.00%","100%","FCS"
"Michael Stevenson","COLGATE",38,13.82,"F",80,"TE",2026,"Patriot",58.7,0,4,0,1,1,5,5,0,0,0,0,0,1,0,0,0,0,0,"0.00%",1.25,5,0,0,"100%","0.00%","0.00%",87.5,"0.00%","25.00%","0.00%","100%","FCS"
"Ryan Johnson","E WASHGTON",20,13.82,"F",42,"TE",2026,"Big Sky",59.6,1,4,0,1,1,3,3,0,0,0,0,0,1,0,0,2,2,0,"0.00%",0.75,1,0,0,"100%","0.00%","0.00%",79.2,"25.00%","25.00%","0.00%","100%","FCS"
"Carson Derey","RICHMOND",45,13.82,"F",88,"TE",2026,"Patriot",50.5,1,23,2,1,1,7,7,0,1,0,0,0,1,0,0,5,5,3,"0.00%",0.3,2,0,1,"100%","0.00%","0.00%",95.8,"0.00%","4.30%","0.00%","100%","FCS"
"Alex Simmons","MORGAN ST",28,13.82,"F",9,"TE",2026,"MEAC",53,2,13,0,1,1,7,7,0,0,0,0,0,1,0,0,3,3,1,"0.00%",0.54,4,0,0,"100%","0.00%","0.00%",95.8,"0.00%","7.70%","0.00%","100%","FCS"
"Will McKissick","E WASHGTON",32,13.82,"F",85,"TE",2026,"Big Sky",73.1,2,12,1,1,1,20,20,0,0,0,0,0,1,0,0,4,4,0,"0.00%",1.67,16,1,0,"100%","0.00%","0.00%",118.8,"0.00%","8.30%","0.00%","100%","FCS"
"Whitten Weems","E ILLINOIS",20,13.82,"F",82,"TE",2026,"Big South - OVC Football Association",54.9,1,9,0,1,1,5,5,0,1,0,0,0,1,0,0,4,4,2,"0.00%",0.56,1,0,1,"100%","0.00%","0.00%",87.5,"0.00%","11.10%","0.00%","100%","FCS"
"Nick Williams","MORGAN ST",21,13.82,"F",45,"TE",2026,"MEAC",63.3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,"0.00%",0,-1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","100%","0.00%","100%","FCS"
"Chad Martin","BUCKNELL",26,13.82,"F",89,"TE",2026,"Patriot",56.6,2,5,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.2,0,0,0,"100%","0.00%","0.00%",79.2,"0.00%","20.00%","0.00%","100%","FCS"
"Cole Clarke","STHLSK",27,6.56,"F",17,"TE",2026,"Northeast",52.8,1,14,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,11.5,0,0,"0.00%","0.00%","50.00%",39.6,"7.10%","14.30%","0.00%","0.00%","FCS"
"Jackson Blee","WM & MARY",36,6.56,"F",86,"TE",2026,"Patriot",51.4,1,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,14.5,0,0,"0.00%","0.00%","0.00%",39.6,"5.90%","11.80%","0.00%","0.00%","FCS"
"Mitchell Viviano","ALBANY",39,6.56,"F",87,"TE",2026,"CAA",48.5,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,7.5,0,0,"0.00%","0.00%","0.00%",0,"0.00%","13.30%","0.00%","0.00%","FCS"
"Drae Tyme","HOLY CROSS",13,6.56,"F",84,"TE",2026,"Patriot",55.1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,13.5,0,0,"0.00%","0.00%","0.00%",39.6,"12.50%","25.00%","0.00%","0.00%","FCS"
"Hayden Daugherty","N ARIZONA",51,6.56,"F",14,"TE",2026,"Big Sky",29.8,2,18,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"0.00%",0,7,0,0,"0.00%","100%","0.00%",39.6,"0.00%","11.10%","0.00%","0.00%","FCS"
"Tyson Hunt","PORTLAND",11,6.56,"F",82,"TE",2026,"Big Sky",52.9,2,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,14,0,0,"0.00%","0.00%","50.00%",39.6,"0.00%","40.00%","50.00%","0.00%","FCS"
"Eli Mahan","MAINE",42,3.28,"F",16,"TE",2026,"CAA",50.6,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","7.70%","0.00%","0.00%","FCS"
"Beau Blankenship","GARD-WEBB",47,3.28,"F",85,"TE",2026,"Big South - OVC Football Association",50.3,1,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","100%",39.6,"0.00%","7.70%","0.00%","0.00%","FCS"
"Colby Ramshaw","NEW HAMP",17,3.28,"F",85,"TE",2026,"CAA",53.1,1,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"0.00%",0,6,0,0,"0.00%","0.00%","100%",39.6,"0.00%","20.00%","0.00%","0.00%","FCS"
"Isaac McLellan","W CAROLINA",15,3.28,"F",44,"TE",2026,"Southern",54.4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,18,0,0,"0.00%","0.00%","0.00%",39.6,"20.00%","20.00%","0.00%","0.00%","FCS"
"Treylin Whaley","NICHOLLS",21,3.28,"F",9,"TE",2026,"Southland",53,0,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,23,0,0,"0.00%","0.00%","100%",39.6,"8.30%","8.30%","100%","0.00%","FCS"
"Coleman Kuntz","S DAK ST",66,3.28,"F",82,"TE",2026,"Missouri Valley",46.4,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,28,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","4.30%","100%","0.00%","FCS"
"Jackson Head","AUSTINPEAY",54,3.28,"F",13,"TE",2026,"United Athletic",50.4,0,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,31,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","5.00%","100%","0.00%","FCS"
"Peyton Faulkner","TOWSON",22,3.28,"F",11,"TE",2026,"CAA",53.2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","11.10%","0.00%","0.00%","FCS"
"Andrew Civey","SE MO ST",12,3.28,"F",45,"TE",2026,"Big South - OVC Football Association",56.7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,3,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","20.00%","0.00%","0.00%","FCS"
"Samuel Albee","MERCER",35,3.28,"F",18,"TE",2026,"Southern",53.2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,5,0,0,"0.00%","0.00%","0.00%",39.6,"11.10%","11.10%","0.00%","0.00%","FCS"
"Justin Buhler","UTAHTC",34,3.28,"F",24,"TE",2026,"Big Sky",54.2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,25,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","25.00%","100%","0.00%","FCS"
"Joey Wassler","PRINCETON",61,3.28,"F",2,"TE",2026,"Ivy",49.6,2,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","4.00%","0.00%","0.00%","FCS"
"Pax Hughes","NICHOLLS",13,3.28,"F",47,"TE",2026,"Southland",55.6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,0,"0.00%","0.00%","0.00%",39.6,"20.00%","20.00%","0.00%","0.00%","FCS"
"Watson Hafer","N DAKOTA",28,3.28,"F",80,"TE",2026,"Missouri Valley",50.7,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,18,0,0,"0.00%","0.00%","0.00%",39.6,"7.70%","7.70%","0.00%","0.00%","FCS"
"Eli Sisson","N ALABAMA",26,3.28,"F",19,"TE",2026,"United Athletic",49.5,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,23,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","11.10%","100%","0.00%","FCS"
"Tyreek Wood","MAINE",17,3.28,"F",84,"TE",2026,"CAA",54.3,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,4,0,0,"0.00%","0.00%","0.00%",39.6,"16.70%","16.70%","0.00%","0.00%","FCS"
"Ashton Wilson","MERCYHURST",23,3.28,"F",83,"TE",2026,"Northeast",52.1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,9,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","20.00%","0.00%","0.00%","FCS"
"Blaine Zoller","CORNELL",15,3.28,"F",87,"TE",2026,"Ivy",55.6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,14,0,0,"0.00%","0.00%","0.00%",0,"0.00%","33.30%","0.00%","0.00%","FCS"
"Amareus Walker","STF AUSTIN",12,3.28,"F",44,"TE",2026,"Southland",30.7,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"0.00%",0,5,0,0,"0.00%","100%","0.00%",39.6,"0.00%","100%","0.00%","0.00%","FCS"
"Chris Hanewich","STHLSK",14,3.28,"F",80,"TE",2026,"Northeast",54.7,0,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,6,0,0,"0.00%","0.00%","0.00%",39.6,"10.00%","10.00%","0.00%","0.00%","FCS"
"Chris Herrin","S DAKOTA",22,3.28,"F",86,"TE",2026,"Missouri Valley",34.1,1,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"0.00%",0,7,0,0,"0.00%","100%","0.00%",39.6,"0.00%","8.30%","0.00%","0.00%","FCS"
"Brendan Hester","ELON",22,3.28,"F",87,"TE",2026,"CAA",52.9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,2,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","16.70%","0.00%","0.00%","FCS"
"Nassim Isaac","N ARIZONA",21,3.28,"F",87,"TE",2026,"Big Sky",56.1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,6,0,0,"0.00%","0.00%","0.00%",39.6,"50.00%","50.00%","0.00%","0.00%","FCS"
"Ben Marshall","AUSTINPEAY",34,0,"F",89,"TE",2026,"United Athletic",56.1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Marvin Landy","RHODE ISLD",26,0,"F",88,"TE",2026,"CAA",53.2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kaleb Costner","TENN MARTN",39,0,"F",0,"TE",2026,"Big South - OVC Football Association",49.9,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Clayton Leonard","SE MO ST",44,0,"F",89,"TE",2026,"Big South - OVC Football Association",51.8,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Max Ziebarth","ILL STATE",42,0,"F",11,"TE",2026,"Missouri Valley",50.6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Nolan Reed","SE MO ST",17,0,"F",43,"TE",2026,"Big South - OVC Football Association",56.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Mason South","N DAKOTA",11,0,"F",44,"TE",2026,"Missouri Valley",51.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kheagian Heckaman","PRVIEW A&M",14,0,"F",4,"TE",2026,"SWAC",56.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Rylan Schlepp","MONTANA ST",17,0,"F",88,"TE",2026,"Big Sky",57.6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Greyton Gannon","S DAK ST",31,0,"F",88,"TE",2026,"Missouri Valley",52,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Jake Kucera","FORDHAM",12,0,"F",86,"TE",2026,"Patriot",59.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Taysire Williams","DARTMOUTH",28,0,"F",87,"TE",2026,"Ivy",52.2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Vincent Cajano III","WAGNER",19,0,"F",16,"TE",2026,"Northeast",59.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Dane Farley","INCAR WORD",34,0,"F",47,"TE",2026,"Southland",52.2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kai Black","N IOWA",11,0,"F",17,"TE",2026,"Missouri Valley",54.9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Devin Scura","NICHOLLS",13,0,"F",45,"TE",2026,"Southland",57.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Luke Petitta","HOLY CROSS",23,0,"F",83,"TE",2026,"Patriot",55.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Koby Keenan","BRYANT",48,0,"F",83,"TE",2026,"CAA",51.6,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Daniel Tarabrella","DUQUESNE",29,0,"F",21,"TE",2026,"Northeast",55.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Jeremy Caspe","NEWHVN",30,0,"F",87,"TE",2026,"Northeast",50.4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Connor Adair","CAMPBELL",25,0,"F",18,"TE",2026,"CAA",51,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Garrett Guess","LEHIGH",15,0,"F",80,"TE",2026,"Patriot",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Johans Bars","WAGNER",30,0,"F",84,"TE",2026,"Northeast",49.9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Gus Donnerberg","IDAHO",22,0,"F",88,"TE",2026,"Big Sky",52.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Carter Pruitt","SAN DIEGO",22,0,"F",48,"TE",2026,"Pioneer",57.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Ethan John","PRVIEW A&M",30,0,"F",5,"TE",2026,"SWAC",51.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Greg Genross","MONMOUTH",14,0,"F",82,"TE",2026,"CAA",59.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Alek Marshall","CAL POLY",26,0,"F",85,"TE",2026,"Big Sky",55.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Connor Ruth","N ALABAMA",16,0,"F",18,"TE",2026,"United Athletic",52.1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Ben Alvarez","HARVARD",14,0,"F",45,"TE",2026,"Ivy",59.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Gage Goralski","BUTLER",42,0,"F",85,"TE",2026,"Pioneer",51,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Tray Kuntz","N DAKOTA",19,0,"F",82,"TE",2026,"Missouri Valley",48.1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Klein Essler","TARLETON",17,0,"F",85,"TE",2026,"United Athletic",53.2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kristian Strong","DARTMOUTH",19,0,"F",88,"TE",2026,"Ivy",56.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kevin Sheridan","STHLSK",21,0,"F",88,"TE",2026,"Northeast",54.6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Mike Balogh","COLGATE",18,0,"F",81,"TE",2026,"Patriot",56.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Aleks Sitkowski","COLGATE",29,0,"F",12,"TE",2026,"Patriot",54.6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"TJ Briggs","CHATTNOOGA",34,0,"F",88,"TE",2026,"Southern",52.6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Landon Strickland","CHATTNOOGA",39,0,"F",87,"TE",2026,"Southern",52.4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Carter Curnow","MONTANA ST",17,0,"F",85,"TE",2026,"Big Sky",55.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Michael Hegarty","PENN",38,0,"F",89,"TE",2026,"Ivy",51.4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Ashtin Traver","STHLSK",13,0,"F",83,"TE",2026,"Northeast",59.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Jordan Rogers","UC DAVIS",17,0,"F",15,"TE",2026,"Big Sky",50.2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Zay Akinsanya","UTAHTC",14,0,"F",6,"TE",2026,"Big Sky",53,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Ty Brown","MURRAY ST",22,0,"F",12,"TE",2026,"Missouri Valley",51.6,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Kaleb Diers","N IOWA",25,0,"F",83,"TE",2026,"Missouri Valley",49.8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Jacob Soley","INDIANA ST",40,0,"F",8,"TE",2026,"Missouri Valley",54.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Charlie Kaludis","PRINCETON",33,0,"F",85,"TE",2026,"Ivy",54.6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Connor Everett","NC CENT",16,0,"F",89,"TE",2026,"MEAC",53.8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
