"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Ethan Clark","PRINCETON",31,42.53,"C",21,"HB",2026,"Ivy",69.1,11,17,67,3.9,1,6,0,0,2,23,1.4,44,2.6,0,0.353,0.12,2,0.059,"PRINCETON",21,"Ivy",38.7,2,8,0,3,1,13,13,0,1,1,0,0,2,0,0,16,16,13,0,1.63,-1.7,0,1,"50.00%","50.00%","0.00%",47.9,0,0.375,0,"33.30%","Ivy","FCS"
"Xaviah Bascon","HARVARD",34,42.39,"C",0,"HB",2026,"Ivy",62.6,6,15,49,3.3,1,4,0,0,4,11,0.7,38,2.5,0,0.267,0.27,2,0.067,"HARVARD",0,"Ivy",59.5,1,10,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0.2,2,0,0,"100%","0.00%","0.00%",79.2,0,0.1,0,"100%","Ivy","FCS"
"Miequle Brock","TARLETON",26,42.13,"C",22,"HB",2026,"United Athletic",66.3,2,9,37,4.1,0,0,0,0,1,8,0.9,29,3.2,0,0,0.11,1,0.333,"TARLETON",22,"United Athletic",74.9,2,8,0,2,2,80,40,0,1,0,0,0,2,0,0,82,41,50,0,10,-1,1,4,"100%","0.00%","0.00%",118.8,0,0.25,0,"100%","United Athletic","FCS"
"Jadarius Dobie","W CAROLINA",12,42.06,"C",20,"HB",2026,"Southern",63.6,3,7,45,6.4,0,3,0,0,3,17,2.4,28,4,0,0.429,0.43,2,0,"W CAROLINA",20,"Southern",74.7,1,4,0,1,1,9,9,0,1,0,0,0,1,0,0,5,5,2,0,2.25,4,0,0,"100%","0.00%","0.00%",104.2,0,0.25,0,"100%","Southern","FCS"
"Joey Koch","ALBANY",31,41.61,"C",22,"HB",2026,"CAA",70.7,7,14,54,3.9,1,4,0,0,1,12,0.9,42,3,0,0.286,0.07,1,0,"ALBANY",22,"CAA",75,2,10,0,2,1,24,24,0,1,0,0,0,1,0,0,30,30,24,0,2.4,11.5,1,0,"100%","0.00%","0.00%",93.8,0.1,0.2,0.5,"50.00%","CAA","FCS"
"Dylan Paine","MONTANA",17,41.28,"C",23,"HB",2026,"Big Sky",78,5,6,32,5.3,0,2,0,0,4,13,2.2,19,3.2,0,0.333,0.67,1,0,"MONTANA",23,"Big Sky",63.9,2,10,0,2,2,18,9,0,1,0,0,0,2,0,0,18,9,5,0,1.8,0,1,0,"100%","0.00%","0.00%",104.2,0,0.2,0,"100%","Big Sky","FCS"
"Charles Pierre Jr.","S DAKOTA",41,41.1,"C",3,"HB",2026,"Missouri Valley",66.6,4,15,55,3.7,0,2,0,0,5,11,0.7,44,2.9,0,0.133,0.33,2,0,"S DAKOTA",3,"Missouri Valley",50.5,3,23,0,3,2,33,16.5,0,1,1,0,0,3,0,0,44,22,14,0,1.43,-3.7,1,1,"66.70%","33.30%","0.00%",103.5,0,0.13,0,"66.70%","Missouri Valley","FCS"
"Eli Jones","BROWN",17,40.91,"C",21,"HB",2026,"Ivy",72.3,5,7,45,6.4,0,3,0,0,1,16,2.3,29,4.1,0,0.429,0.14,2,0,"BROWN",21,"Ivy",87.6,2,7,0,2,2,25,12.5,0,2,0,0,0,2,0,0,18,9,6,0,3.57,3.5,0,0,"100%","0.00%","0.00%",118.8,0.143,0.286,0,"100%","Ivy","FCS"
"Omar Mbakwe","SAN DIEGO",15,40.81,"C",0,"HB",2026,"Pioneer",61.1,5,13,41,3.1,1,5,0,0,2,7,0.5,34,2.6,0,0.385,0.15,1,0,"SAN DIEGO",0,"Pioneer",78.5,1,2,0,1,1,11,11,0,1,0,0,0,1,0,0,5,5,3,0,5.5,6,0,0,"100%","0.00%","0.00%",112.5,0,0.5,0,"100%","Pioneer","FCS"
"Keith Jenkins Jr.","MORGAN ST",29,40.64,"C",1,"HB",2026,"MEAC",72.7,5,7,41,5.9,0,3,0,0,3,9,1.3,32,4.6,0,0.429,0.43,2,0,"MORGAN ST",1,"MEAC",65.7,1,16,0,5,2,22,11,0,0,0,0,0,2,0,0,18,9,1,0,1.38,4.6,1,0,"100%","0.00%","0.00%",53.8,0,0.313,0.2,"40.00%","MEAC","FCS"
"Hugo DjeumeniKemeni","YALE",47,40.08,"C",6,"HB",2026,"Ivy",62.5,3,13,79,6.1,0,1,0,0,2,14,1.1,65,5,0,0.077,0.15,2,0.077,"YALE",6,"Ivy",62.3,1,28,0,2,2,8,4,0,1,0,0,0,2,0,0,2,1,0,0,0.29,3,0,0,"100%","0.00%","0.00%",83.3,0,0.071,0,"100%","Ivy","FCS"
"Chad Elzy Jr","SE LA",20,39.96,"D",33,"HB",2026,"Southland",64.5,3,8,58,7.3,0,2,0,0,1,10,1.3,48,6,0,0.25,0.13,1,0.125,"SE LA",33,"Southland",68.4,1,8,0,3,2,26,13,0,1,0,0,0,2,0,0,17,8.5,5,0,3.25,3.7,1,0,"100%","0.00%","0.00%",93.8,0,0.375,0,"66.70%","Southland","FCS"
"Quay Middlebrooks","TXAMEA",21,39.89,"D",3,"HB",2026,"Southland",69.6,6,10,49,4.9,0,4,0,0,3,18,1.8,31,3.1,0,0.4,0.3,2,0,"TXAMEA",3,"Southland",62.1,1,7,0,2,2,6,3,0,0,0,0,0,2,0,0,7,3.5,2,0,0.86,-0.5,0,0,"100%","0.00%","0.00%",79.2,0.143,0.286,0,"100%","Southland","FCS"
"Deantre Jackson","SE LA",15,39.46,"D",3,"HB",2026,"Southland",71.6,5,10,46,4.6,0,2,0,0,4,4,0.4,42,4.2,0,0.2,0.4,2,0.3,"SE LA",3,"Southland",55.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Major McBride","TXAMEA",26,39.36,"D",23,"HB",2026,"Southland",81.4,7,10,53,5.3,0,3,0,0,2,22,2.2,31,3.1,0,0.3,0.2,2,0.1,"TXAMEA",23,"Southland",58.1,0,8,0,2,1,5,5,0,0,0,0,0,1,0,0,9,9,2,0,0.63,3,0,0,"100%","0.00%","0.00%",56.3,0.125,0.25,0,"50.00%","Southland","FCS"
"Courtland Simmons","AUSTINPEAY",36,39,"D",11,"HB",2026,"United Athletic",72.1,9,15,73,4.9,1,2,0,0,3,30,2,43,2.9,0,0.133,0.2,2,0,"AUSTINPEAY",11,"United Athletic",55,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","United Athletic","FCS"
"Isaiah Ragland","VILLANOVA",26,38.86,"D",20,"HB",2026,"Patriot",60,4,12,43,3.6,0,3,0,0,3,6,0.5,37,3.1,0,0.25,0.25,2,0.167,"VILLANOVA",20,"Patriot",66.5,1,10,0,3,3,11,3.7,0,0,0,0,0,3,0,0,14,4.7,1,0,1.1,-1,0,0,"100%","0.00%","0.00%",81.9,0,0.3,0,"100%","Patriot","FCS"
"BJ Barrow","RHODE ISLD",28,37.52,"D",2,"HB",2026,"CAA",64.1,2,6,49,8.2,1,2,0,0,0,40,6.7,9,1.5,0,0.333,0,2,0,"RHODE ISLD",2,"CAA",59.1,2,20,0,4,3,6,2,0,0,0,0,0,3,1,1,16,5.3,4,1,0.3,-1.5,0,0,"100%","0.00%","25.00%",77.1,0.05,0.2,0,"75.00%","CAA","FCS"
"Griffin Johnson","COLUMBIA",NA,37.12,"D",32,"HB",2026,"Ivy",0,0,19,119,6.3,1,7,0,0,0,66,3.5,53,2.8,0,0.368,0,5,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Ivy","FCS"
"Seth Rigtrup","WEBER ST",NA,36.8,"D",32,"HB",2026,"Big Sky",0,0,12,105,8.8,2,5,0,0,0,105,8.8,0,0,0,0.417,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Gabriel Abel","STTHOM",NA,36.75,"D",1,"HB",2026,"Pioneer",0,0,22,152,6.9,1,3,0,0,0,49,2.2,103,4.7,0,0.136,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Pioneer","FCS"
"Jaydon Peete","TENN MARTN",13,36.69,"D",20,"HB",2026,"Big South - OVC Football Association",62,3,7,40,5.7,0,2,0,0,1,11,1.6,29,4.1,0,0.286,0.14,1,0.143,"TENN MARTN",20,"Big South - OVC Football Association",71.4,1,6,0,1,1,13,13,0,0,0,0,0,1,0,0,6,6,6,0,2.17,7,0,1,"100%","0.00%","0.00%",118.8,0,0.167,0,"100%","Big South - OVC Football Association","FCS"
"Spencer Ferguson","WEBER ST",NA,36.48,"D",38,"HB",2026,"Big Sky",0,0,9,83,9.2,1,4,0,0,0,25,2.8,58,6.4,0,0.444,0,4,0,"WEBER ST",38,"Big Sky",0,0,2,0,2,2,17,8.5,0,1,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,"0.00%","0.00%","0.00%",102.1,0,1,0,"100%","Big Sky","FCS"
"Khyair Spain","SE MO ST",27,36.23,"D",0,"HB",2026,"Big South - OVC Football Association",67.6,5,13,43,3.3,0,5,0,0,1,8,0.6,35,2.7,0,0.385,0.08,2,0.154,"SE MO ST",0,"Big South - OVC Football Association",56.9,1,14,0,2,1,8,8,0,0,0,0,0,1,1,0,3,3,2,0,0.57,3,0,0,"100%","0.00%","50.00%",60.4,0,0.143,0,"50.00%","Big South - OVC Football Association","FCS"
"Ky'Yon Harris","PRVIEW A&M",50,36.16,"D",26,"HB",2026,"SWAC",63.1,7,17,63,3.7,0,4,0,0,3,8,0.5,55,3.2,0,0.235,0.18,0,0,"PRVIEW A&M",26,"SWAC",52.3,2,19,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-2,0,0,"0.00%","0.00%","100%",39.6,0.053,0.105,0,"0.00%","SWAC","FCS"
"Josh Miller","WM & MARY",20,36.14,"D",9,"HB",2026,"Patriot",59,6,9,41,4.6,0,1,1,1,3,19,2.1,22,2.4,0,0.111,0.33,1,0,"WM & MARY",9,"Patriot",91.3,1,9,0,1,1,9,9,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,"100%","0.00%","0.00%",104.2,0.111,0.111,0,"100%","Patriot","FCS"
"TJ Peyton","E TENN ST",18,36.06,"D",5,"HB",2026,"Southern",48.3,0,17,94,5.5,1,3,0,0,0,46,2.7,48,2.8,0,0.176,0,3,0,"E TENN ST",5,"Southern",55.8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southern","FCS"
"Jordan Bennett","BRYANT",17,35.82,"D",28,"HB",2026,"CAA",71,6,9,57,6.3,1,4,0,0,0,26,2.9,31,3.4,0,0.444,0,2,0.111,"BRYANT",28,"CAA",55.6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
"Jakyre Henley","LAFAYETTE",NA,35.69,"D",5,"HB",2026,"Patriot",0,0,17,125,7.3,1,5,0,0,0,55,3.2,70,4.1,0,0.294,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Marlin Cochran","W CAROLINA",28,35.59,"D",8,"HB",2026,"Southern",66.4,6,9,43,4.8,1,3,0,0,1,21,2.3,22,2.4,0,0.333,0.11,1,0,"W CAROLINA",8,"Southern",62.3,2,14,0,4,4,11,2.8,0,0,0,0,0,4,0,0,16,4,4,0,0.79,-1.3,0,0,"100%","0.00%","0.00%",79.2,0.071,0.286,0,"100%","Southern","FCS"
"Za'Marion Webber","ARKAPB",NA,35.58,"D",5,"HB",2026,"SWAC",0,0,9,108,12,1,4,0,0,0,45,5,63,7,0,0.444,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Tommy Ansley","TENN MARTN",23,35.48,"D",39,"HB",2026,"Big South - OVC Football Association",64.1,4,10,34,3.4,1,4,0,0,1,6,0.6,28,2.8,0,0.4,0.1,1,0.2,"TENN MARTN",39,"Big South - OVC Football Association",44.4,2,8,0,3,2,16,8,0,1,1,0,0,3,0,0,17,8.5,2,0,2,0.3,1,0,"66.70%","33.30%","0.00%",79.9,0,0.375,0,"66.70%","Big South - OVC Football Association","FCS"
"Trey Holly","SOUTHERN U",NA,34.01,"D",6,"HB",2026,"SWAC",0,0,13,94,7.2,2,3,0,0,0,94,7.2,0,0,0,0.231,0,1,0,"SOUTHERN U",6,"SWAC",0,0,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"0.00%","0.00%","0.00%",79.2,0,1,0,"100%","SWAC","FCS"
"Mike Franklin","SOUTHERN U",NA,33.76,"D",7,"HB",2026,"SWAC",0,0,10,109,10.9,0,5,0,0,0,109,10.9,0,0,0,0.5,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Tyren Buggs","E ILLINOIS",26,33.67,"D",22,"HB",2026,"Big South - OVC Football Association",65.9,3,9,23,2.6,0,1,0,0,5,-5,-0.6,28,3.1,0,0.111,0.56,0,0.111,"E ILLINOIS",22,"Big South - OVC Football Association",63.2,1,16,0,3,3,-5,-1.7,0,0,0,0,0,3,0,0,4,1.3,0,0,-0.31,-3,0,0,"100%","0.00%","0.00%",79.2,0,0.188,0,"100%","Big South - OVC Football Association","FCS"
"Luke Hansen","DAYTON",NA,33.46,"D",25,"HB",2026,"Pioneer",0,0,15,112,7.5,1,6,0,0,0,8,0.5,104,6.9,0,0.4,0,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Pioneer","FCS"
"Rashawn Marshall","MAINE",31,33.2,"D",5,"HB",2026,"CAA",59.3,4,11,39,3.5,0,2,0,0,4,4,0.4,35,3.2,0,0.182,0.36,0,0,"MAINE",5,"CAA",58.1,0,14,1,4,2,9,4.5,0,1,0,0,0,2,0,0,10,5,3,0,0.64,1.8,0,0,"100%","0.00%","0.00%",56.3,0,0.286,0,"50.00%","CAA","FCS"
"Joquez Smith","NEW HAMP",35,32.8,"D",24,"HB",2026,"CAA",65.7,6,10,50,5,0,2,0,0,3,10,1,40,4,0,0.2,0.3,1,0.1,"NEW HAMP",24,"CAA",53.4,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
"Brady Hensley","E KENTUCKY",NA,32.56,"D",42,"HB",2026,"United Athletic",0,0,13,105,8.1,1,5,0,0,0,24,1.9,81,6.2,0,0.385,0,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Adrian Cormier","GARD-WEBB",38,32.32,"D",1,"HB",2026,"Big South - OVC Football Association",69,5,11,59,5.4,1,3,0,0,1,19,1.7,40,3.6,0,0.273,0.09,3,0,"GARD-WEBB",1,"Big South - OVC Football Association",30.6,1,14,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-5,0,0,"0.00%","100%","0.00%",39.6,0,0.143,0,"0.00%","Big South - OVC Football Association","FCS"
"Clay Ash","GEORGETOWN",29,32.27,"D",28,"HB",2026,"Patriot",59,3,14,33,2.4,0,0,0,0,3,-3,-0.2,36,2.6,0,0,0.21,0,0.143,"GEORGETOWN",28,"Patriot",64.1,1,12,0,1,1,21,21,0,1,0,0,0,1,0,0,17,17,4,0,1.75,4,1,0,"100%","0.00%","0.00%",118.8,0,0.083,0,"100%","Patriot","FCS"
"Chris McMillian","N ALABAMA",30,32.27,"D",1,"HB",2026,"United Athletic",60,4,14,39,2.8,0,3,0,0,1,16,1.1,23,1.6,0,0.214,0.07,1,0,"N ALABAMA",1,"United Athletic",83.6,2,6,0,4,2,32,16,0,2,0,0,0,2,0,0,41,20.5,2,0,5.33,-3.3,1,0,"100%","0.00%","0.00%",77.1,0,0.667,0,"50.00%","United Athletic","FCS"
"Roderick Taylor Jr.","N ALABAMA",39,32.22,"D",9,"HB",2026,"United Athletic",72.3,6,9,27,3,0,0,0,0,7,-9,-1,36,4,0,0,0.78,0,0,"N ALABAMA",9,"United Athletic",53.4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","United Athletic","FCS"
"Chuck Webb","SACR HEART",42,31.76,"D",2,"HB",2026,"CAA",63.6,8,15,56,3.7,0,3,0,0,2,22,1.5,34,2.3,0,0.2,0.13,0,0,"SACR HEART",2,"CAA",42.9,2,22,0,3,2,11,5.5,0,0,1,0,0,3,0,0,6,3,3,0,0.5,1.7,0,0,"66.70%","33.30%","0.00%",72.9,0,0.136,0,"66.70%","CAA","FCS"
"Zahmari Palode-Gary","MERCER",34,31.61,"D",7,"HB",2026,"Southern",61.5,6,15,71,4.7,0,4,0,0,1,4,0.3,67,4.5,0,0.267,0.07,2,0.067,"MERCER",7,"Southern",32.5,1,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-6,0,0,"0.00%","100%","0.00%",39.6,0,0.143,0,"0.00%","Southern","FCS"
"Jalen Washington","CENT ARK",25,31.25,"D",9,"HB",2026,"United Athletic",56,5,15,45,3,0,3,0,0,3,13,0.9,32,2.1,0,0.2,0.2,1,0.133,"CENT ARK",9,"United Athletic",57,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","United Athletic","FCS"
"Rickey Stewart","STF AUSTIN",11,30.96,"D",25,"HB",2026,"Southland",69.6,5,10,38,3.8,0,3,0,0,3,1,0.1,37,3.7,0,0.3,0.3,2,0,"STF AUSTIN",25,"Southland",60,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Southland","FCS"
"Hayden Kincheloe","IDAHO",35,30.85,"D",37,"HB",2026,"Big Sky",59.9,2,9,28,3.1,0,2,0,0,0,5,0.6,23,2.6,0,0.222,0,1,0,"IDAHO",37,"Big Sky",74.8,2,16,0,2,2,37,18.5,0,2,0,0,0,2,0,0,9,4.5,9,0,2.31,14,2,2,"100%","0.00%","0.00%",118.8,0,0.125,0.5,"100%","Big Sky","FCS"
"Myles Craddock","DARTMOUTH",48,30.81,"D",8,"HB",2026,"Ivy",66.1,8,15,32,2.1,1,3,0,0,1,1,0.1,31,2.1,0,0.2,0.07,1,0,"DARTMOUTH",8,"Ivy",56.3,1,22,0,1,1,7,7,0,0,0,0,0,1,0,0,1,1,1,0,0.32,6,0,0,"100%","0.00%","0.00%",95.8,0,0.045,0,"100%","Ivy","FCS"
"Troy Timko","WOFFORD",7,30.33,"D",32,"HB",2026,"Southern",69.7,3,7,66,9.4,0,2,0,0,1,30,4.3,36,5.1,0,0.286,0.14,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Jaiden Daniels","E TENN ST",11,30.08,"D",7,"HB",2026,"Southern",49,0,10,69,6.9,0,2,0,0,0,15,1.5,54,5.4,0,0.2,0,1,0,"E TENN ST",7,"Southern",59.1,0,4,0,1,1,2,2,0,0,0,0,0,0,0,0,7,7,4,0,0.5,-5,0,0,"0.00%","0.00%","0.00%",79.2,0.25,0.25,0,"100%","Southern","FCS"
"Galamama Mulbah","MERRIMACK",21,29.9,"D",0,"HB",2026,"IND (FCS)",67,3,7,38,5.4,0,3,0,0,2,13,1.9,25,3.6,0,0.429,0.29,1,0,"MERRIMACK",0,"IND (FCS)",56.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","IND (FCS)","FCS"
"Ness Davis","DUQUESNE",24,29.04,"D",32,"HB",2026,"Northeast",68.2,4,9,27,3,0,1,0,0,0,7,0.8,20,2.2,0,0.111,0,0,0.444,"DUQUESNE",32,"Northeast",60,0,9,0,1,1,4,4,0,0,0,0,0,1,0,0,7,7,3,0,0.44,-3,0,0,"100%","0.00%","0.00%",83.3,0,0.111,0,"100%","Northeast","FCS"
"Darius Chukwuemeka","SACR HEART",22,28.74,"D",30,"HB",2026,"CAA",61.5,2,6,20,3.3,0,1,0,0,1,8,1.3,12,2,0,0.167,0.17,1,0.167,"SACR HEART",30,"CAA",66.4,1,12,0,2,2,14,7,0,1,0,0,0,2,0,0,11,5.5,8,0,1.17,1.5,0,1,"100%","0.00%","0.00%",95.8,0,0.167,0,"100%","CAA","FCS"
"Floyd Chalk","SO UTAH",NA,28.52,"D",3,"HB",2026,"Big Sky",0,0,29,121,4.2,0,3,0,0,0,75,2.6,46,1.6,0,0.103,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Brenton Paul","TENN STATE",NA,28.34,"D",15,"HB",2026,"Big South - OVC Football Association",0,0,26,92,3.5,1,6,0,0,0,55,2.1,37,1.4,0,0.231,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
"Elijah Jennings","MONMOUTH",20,28.33,"D",3,"HB",2026,"CAA",69.3,7,14,65,4.6,0,3,0,0,0,19,1.4,46,3.3,0,0.214,0,1,0,"MONMOUTH",3,"CAA",56,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
"Cuttler Adams","YALE",27,28.28,"D",5,"HB",2026,"Ivy",56.4,2,11,31,2.8,0,2,0,0,1,1,0.1,30,2.7,0,0.182,0.09,2,0,"YALE",5,"Ivy",75.5,2,13,0,2,2,13,6.5,0,2,0,0,0,2,0,0,7,3.5,2,0,1,3,0,0,"100%","0.00%","0.00%",93.8,0,0.154,0,"100%","Ivy","FCS"
"Devon Caldwell","MERCER",26,27.73,"D",21,"HB",2026,"Southern",64.5,3,8,43,5.4,0,0,0,0,2,9,1.1,34,4.3,0,0,0.25,1,0,"MERCER",21,"Southern",62.9,0,8,0,4,3,1,0.3,0,0,0,0,0,3,0,0,13,4.3,2,0,0.13,-4,0,0,"100%","0.00%","0.00%",37.5,0,0.5,0,"75.00%","Southern","FCS"
"Kendrick Agenor","BRYANT",23,27.72,"D",23,"HB",2026,"CAA",67,6,10,49,4.9,0,3,0,0,1,13,1.3,36,3.6,0,0.3,0.1,1,0,"BRYANT",23,"CAA",55.2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
"Shawn Solomon Jr.","DUQUESNE",16,27.64,"D",4,"HB",2026,"Northeast",65.2,3,7,15,2.1,0,2,0,0,1,-3,-0.4,18,2.6,0,0.286,0.14,0,0.143,"DUQUESNE",4,"Northeast",61.8,0,6,0,1,1,5,5,0,0,0,0,0,1,1,1,2,2,2,1,0.83,3,0,0,"100%","0.00%","100%",87.5,0,0.167,0,"100%","Northeast","FCS"
"Jalyn Daniels","NORFOLK",NA,27.34,"D",3,"HB",2026,"MEAC",0,0,22,102,4.6,0,6,0,0,0,54,2.5,48,2.2,0,0.273,0,2,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Shane Lee","NICHOLLS",28,27.32,"D",4,"HB",2026,"Southland",60,3,11,37,3.4,0,2,0,0,1,15,1.4,22,2,0,0.182,0.09,1,0,"NICHOLLS",4,"Southland",67.4,2,9,0,3,3,2,0.7,0,0,0,0,0,3,0,0,10,3.3,3,0,0.22,-2.7,0,0,"100%","0.00%","0.00%",79.2,0,0.333,0,"100%","Southland","FCS"
"Zaon Laney","NEWHVN",41,27.05,"D",2,"HB",2026,"Northeast",67.5,5,13,37,2.9,0,3,0,0,1,10,0.8,27,2.1,0,0.231,0.08,0,0,"NEWHVN",2,"Northeast",55.1,0,22,0,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.05,3,0,0,"100%","0.00%","25.00%",39.6,0.045,0.182,0,"25.00%","Northeast","FCS"
"Ernest Temple","ALCORN ST",22,26.68,"D",20,"HB",2026,"SWAC",71.1,4,8,32,4,0,2,0,0,0,13,1.6,19,2.4,0,0.25,0,1,0,"ALCORN ST",20,"SWAC",67.5,2,9,0,1,1,9,9,0,1,0,0,0,1,0,0,12,12,3,0,1,-3,0,0,"100%","0.00%","0.00%",104.2,0.111,0.111,0,"100%","SWAC","FCS"
"Gabe Winowich","RHODE ISLD",22,26.64,"D",22,"HB",2026,"CAA",70.7,4,7,39,5.6,0,2,0,0,1,13,1.9,26,3.7,0,0.286,0.14,2,0,"RHODE ISLD",22,"CAA",54.8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","CAA","FCS"
