"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Colby Alexander","WOFFORD",38,12.59,"F"
"Samuel Gonzalez","E ILLINOIS",27,12.56,"F"
"Trey Firestone","MURRAY ST",29,12.32,"F"
"Myles Walker","DUQUESNE",36,11.99,"F"
"Samuel Musungu","CORNELL",55,11.98,"F"
"Xakery Wiedner","Argonauts",22,11.53,"F"
"Jeremiah Sanders","YNGTOWN ST",33,11.52,"F"
"Major Leak","MAINE",19,11.52,"F"
"Jayden Reed","INDIANA ST",45,11.52,"F"
"Jake Hilton","VILLANOVA",34,11.5,"F"
"D.J. Linkins","STNY BROOK",65,11.39,"F"
"James Penley","STETSON",25,11.26,"F"
"Korey Tai","N DAKOTA",34,11.14,"F"
"Gabriel Wiggins","CENT CT ST",20,11.14,"F"
"Malique Leatherbury","MORGAN ST",20,10.97,"F"
"Anthony Carter","TENN MARTN",44,10.69,"F"
"Najih Rahman","BROWN",41,10.66,"F"
"Traivon Dyson","S ILLINOIS",26,10.39,"F"
"Logan Perez","NEW HAMP",65,10.36,"F"
"Ellis Stewart","NICHOLLS",40,10.3,"F"
"Keyondray Jones-Logan","S DAKOTA",21,10.24,"F"
"Markell Quick","S ILLINOIS",41,10.08,"F"
"Toric Goins Jr.","PRVIEW A&M",59,9.97,"F"
"Seth Weller","ABILENE CH",41,9.91,"F"
"Lawson Dixon","SE LA",35,9.85,"F"
"Tyrell Pollard","CENT ARK",64,9.7,"F"
"Matt D'Avino","LEHIGH",50,9.39,"F"
"Denver Harper","AUSTINPEAY",40,9.33,"F"
"Oliver Van Dyke","Argonauts",33,9.19,"F"
"Roman Laurio","PRINCETON",42,8.79,"F"
"Amare Lattimore","MERCYHURST",21,8.79,"F"
"Issac Glaudin","NEWHVN",18,8.77,"F"
"Torance Washington Jr.","STHLSK",21,8.58,"F"
"Teree McDonald","WAGNER",38,8.3,"F"
"Jayvonne Dillard","NC A&T",50,8.19,"F"
"Triston Edwards","CENT ARK",23,7.88,"F"
"Kevin Green Jr.","RHODE ISLD",14,7.41,"F"
"Cyrus Courtney","N IOWA",21,7.41,"F"
"Cru Newman","PORTLAND",28,7.37,"F"
"Kam Fouty-Koonce","VALPO",16,6.9,"F"
"Jordan Reed","MONTANA ST",45,6.79,"F"
"Tyler Stewart","TXAMEA",24,6.1,"F"
"Tyler Stewart","TXAMEA",24,6.1,"F"
"Tyler Stewart","TXAMEA",16,6.1,"F"
"Tyler Stewart","TXAMEA",16,6.1,"F"
"Kam Phillips","COLGATE",62,6.07,"F"
"Garon Kemp","YALE",14,5.9,"F"
"Tafari Moe","HARVARD",39,4.92,"F"
"Greg Donaldson","NICHOLLS",37,4.34,"F"
"Malachi Townsend","STETSON",16,4.09,"F"
"Owen Garwood","BUCKNELL",17,2.67,"F"
"Zay Morris","UTAHTC",21,2.6,"F"
"Dave Pardo","CENT CT ST",28,1.9,"F"
"Travion Solomon","MERCER",42,1.86,"F"
"Mehki Wall","NC CENT",25,1.85,"F"
"Taj Hughes","N IOWA",25,1.78,"F"
"Garrett Robertson","WM & MARY",25,1.77,"F"
"Nasim Cosby","NC CENT",26,1.77,"F"
"Jeremiah Anemelechi-Ford","MERRIMACK",21,1.74,"F"
"Prince Zombo Jr.","UTAHTC",27,1.72,"F"
"Lorenzo Jenkins","YNGTOWN ST",28,1.56,"F"
"LaSalle Rose Jr.","NEWHVN",46,1.55,"F"
"Andrez Lewis","TXAMEA",34,1.49,"F"
"Deverious Abercrombie","PRESBYTERN",47,1.48,"F"
"Jabez Woods","MONTANA ST",18,1.46,"F"
"Ethan Abberger","N ALABAMA",28,1.4,"F"
"Kaden Taylor","TXAMEA",23,0.68,"F"
"Landon Ransom-Goelz","MONTANA",46,0,"F"
