"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Kasai Jones","NICHOLLS",38,51.39,"C"
"Donny Jones","ALBANY",84,51.37,"C"
"D.J. Galva","E KENTUCKY",42,51.15,"C"
"Caleb Easterling","FURMAN",28,51.13,"C"
"Ethan Washington","FURMAN",39,51.08,"C"
"Anthony Paulk","CHARLES SO",31,50.78,"C"
"Christian Oku","ABILENE CH",76,50.7,"C"
"Kemaury Tye","FORDHAM",34,50.28,"C"
"Gavin Shepard","S ILLINOIS",45,50.24,"C"
"Brandon Ross","NWSTATE",34,50.24,"C"
"Ty Richardson","UC DAVIS",61,50.19,"C"
"Adonis Marshall","MERCYHURST",37,50.18,"C"
"Simion Hines","FL A&M",20,50.16,"C"
"Terry Dorsey","VA MILT IN",41,49.96,"C"
"Christen Williams","GRAMBLING",42,49.57,"C"
"Joshua Kabaka","FORDHAM",17,49.56,"C"
"Justin Wimpye","AUSTINPEAY",27,49.5,"C"
"Deliyon Freeman","N ARIZONA",37,49.5,"C"
"Christian Palmer Jr.","MONMOUTH",44,49.41,"C"
"Malik Baker","SE MO ST",22,49.39,"C"
"Mohamed Toure","STHLSK",54,49.13,"C"
"Bryson Boulden","ARKAPB",51,49.03,"C"
"Deuce Geter","BUCKNELL",16,48.52,"C"
"Cam Frazier","DUQUESNE",32,48.51,"C"
"Aden Tagaloa-Nelson","E KENTUCKY",42,48.49,"C"
"Dorian Blackwell","TXRG",31,48.42,"C"
"Braden Haas","HOLY CROSS",43,48.23,"C"
"CJ Dale Jr.","HOWARD",30,48.13,"C"
"Ezekiel Swayne","SAN DIEGO",50,48.09,"C"
"Michael Jordan Jr.","NEW HAMP",28,48.01,"C"
"Kevin Gaines Jr.","ALABAMA ST",18,47.82,"C"
"Chris Baker","N ALABAMA",35,47.81,"C"
"Michael Gilliam","CAMPBELL",48,47.77,"C"
"Newton Essiem","VILLANOVA",69,47.53,"C"
"Jaiydyn Johnson","STF AUSTIN",28,47.5,"C"
"Noah St-Juste","S DAK ST",27,47.46,"C"
"Brandon Parnell Jr.","HAMPTON",62,47.44,"C"
"Tysean Griffin","W ILLINOIS",48,47.32,"C"
"Cristian Conyer","E KENTUCKY",33,47.18,"C"
"Mick McKee","LEHIGH",17,46.94,"C"
"Xavier Cannaday","LIUSHAR",66,46.87,"C"
"Michael Evans","SCAR STATE",19,46.86,"C"
"Ky'Ree Murphy","WOFFORD",16,46.83,"C"
"Myles Green","S DAK ST",51,46.79,"C"
"Michael Bonsu","GEORGETOWN",48,46.54,"C"
"David Jones","SE MO ST",36,46.46,"C"
"J. Augustus Olidge","HOWARD",18,46.33,"C"
"Chance Harrison Jr.","W ILLINOIS",38,46.33,"C"
"Cameron Cason","S ILLINOIS",36,46.28,"C"
