"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"Mason Keifer","INDIANA ST",25,22.42,"D","DI",2026,"Missouri Valley",57.3,71,44.3,NA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,15,"0","6.70%",3.3,10,2,"0","20.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,"50.00%",0,1,0,"0.00%",1,0,0,0,0,"100%",2,2,0,0,1,"FCS",284,284
"Liam Forster","PENN",23,22.36,"D","DI",2026,"Ivy",61.5,63.9,56.2,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"0","0.00%",0,8,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,"0.00%",1,0,0,"0.00%",0,0,0,0,0,"0.00%",1,1,1,0,0,"FCS",146,146
"Zekiel Seumalo","MONTANA",50,22.36,"D","DI",2026,"Big Sky",55,62,53.3,59.7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,33,"0","3.00%",1.5,16,1,"6.30%","6.30%",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",92,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",314,314
"Cooper Buffington","MONTANA",38,22.33,"D","DI",2026,"Big Sky",54.9,55.1,58.4,59.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,26,"0","3.90%",1.9,11,0,"18.20%","9.10%",2,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",275,275
"Noah Raab","STETSON",23,22.18,"D","DI",2026,"Pioneer",63.4,67.1,55.8,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,"0","0.00%",0,10,0,"10.00%","20.00%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",362,362
"Gustavo Bravo","BRYANT",29,22,"D","DI",2026,"CAA",48,47.3,56.8,NA,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,5,13,"0","7.70%",3.9,16,1,"31.30%","12.50%",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2,"0.00%",1,1,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",99,99
"Luca Lopez","PENN",23,21.96,"D","DI",2026,"Ivy",63.6,67.2,55.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,"0","0.00%",0,11,0,"0","9.10%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",255,255
"Chris Dixon","S DAKOTA",57,21.86,"D","DI",2026,"Missouri Valley",47.4,46.3,55.2,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,24,"0","0.00%",0,33,5.25,"27.30%","9.10%",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,5,"0.00%",1,2,0,"0.00%",4,1,0,0,0,"0.00%",5,5,0,0,0,"FCS",43,43
"Deshawn Palmer","ALCORN ST",42,21.83,"D","DI",2026,"SWAC",57,62,60.3,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,21,"4.80%","0.00%",0,21,0,"14.30%","23.80%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0,"100%",0,0,0,"100%",0,0,1,0,0,"0.00%",1,1,0,0,0,"FCS",233,233
"Keoni Perkins","DARTMOUTH",33,21.71,"D","DI",2026,"Ivy",63.4,64.5,57.3,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,"0","0.00%",0,23,0,"4.30%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",66,66
