"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"MANNY COVEY","MEMPHIS",28,"HB",2026,"The American",74.9,8,15,103,6.9,0,4,0,0,5,32,2.1,71,4.7,0,0.267,0.33,2,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"The American","G5",21,44.73,"C"
"DAMARI ALSTON","TULSA",6,"HB",2026,"The American",65.5,7,16,74,4.6,2,4,0,0,3,18,1.1,56,3.5,0,0.25,0.19,2,0,"TULSA",6,"The American",55.9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,"0.00%","0.00%","0.00%",39.6,0,0.143,1,"0.00%","The American","G5",34,43.95,"C"
"KEENAN PHILLIPS","S ALABAMA",3,"HB",2026,"Sun Belt",72.3,5,14,79,5.6,0,2,0,0,6,30,2.1,49,3.5,0,0.143,0.43,3,0,"S ALABAMA",3,"Sun Belt",58.3,1,16,0,2,2,1,0.5,0,0,0,0,0,2,0,0,4,2,1,0,0.06,-1.5,0,0,"100%","0.00%","0.00%",79.2,0.063,0.125,0,"100%","Sun Belt","G5",35,43.78,"C"
"JAVION KINNARD","S DIEGO ST",21,"HB",2026,"Pac-12",75.4,6,8,79,9.9,0,3,0,0,3,3,0.4,76,9.5,0,0.375,0.38,2,0,"S DIEGO ST",21,"Pac-12",61.9,0,6,0,1,1,1,1,0,0,0,0,0,1,0,0,6,6,1,0,0.17,-5,0,0,"100%","0.00%","0.00%",79.2,0,0.167,0,"100%","Pac-12","G5",16,43.61,"C"
"BAM MCREYNOLDS","UAB",3,"HB",2026,"The American",76,8,13,56,4.3,0,4,0,0,5,12,0.9,44,3.4,0,0.308,0.38,0,0.154,"UAB",3,"The American",80.3,2,11,0,3,2,25,12.5,0,1,0,0,0,2,0,0,26,13,18,0,2.27,-2.3,1,1,"100%","0.00%","0.00%",92.4,0.091,0.273,0,"66.70%","The American","G5",32,43.44,"C"
"DEVON RICE","HAWAII",1,"HB",2026,"MWC",76.7,9,17,82,4.8,0,2,0,0,4,32,1.9,50,2.9,0,0.118,0.24,1,0.118,"HAWAII",1,"MWC",39.5,5,25,0,6,3,17,5.7,0,1,0,1,0,3,1,0,11,3.7,1,0,0.68,0.8,1,0,"100%","0.00%","16.70%",56.3,0.08,0.24,0,"50.00%","MWC","G5",51,42.88,"C"
"KENYON CLAY","ARK STATE",5,"HB",2026,"Sun Belt",70.6,7,13,50,3.9,1,4,0,0,0,14,1.1,36,2.8,0,0.308,0,1,0,"ARK STATE",5,"Sun Belt",66.2,2,22,0,3,2,85,42.5,1,2,0,0,0,2,0,0,72,36,6,0,3.86,7.3,1,1,"100%","0.00%","0.00%",109.7,0,0.136,0,"66.70%","Sun Belt","G5",48,41.04,"C"
"JALEN BUCKLEY","W MICHIGAN",6,"HB",2026,"MAC",72.4,12,19,62,3.3,0,6,0,0,3,7,0.4,55,2.9,0,0.316,0.16,2,0.368,"W MICHIGAN",6,"MAC",55.1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,"0.00%","0.00%","0.00%",39.6,0,0.083,0,"0.00%","MAC","G5",44,40.06,"C"
"PJ MARTIN","S ALABAMA",0,"HB",2026,"Sun Belt",75.3,10,19,75,4,1,5,0,0,2,22,1.2,53,2.8,0,0.263,0.11,1,0,"S ALABAMA",0,"Sun Belt",57.7,0,13,0,1,1,2,2,0,0,0,0,0,1,0,0,6,6,1,0,0.15,-4,0,0,"100%","0.00%","0.00%",79.2,0,0.077,0,"100%","Sun Belt","G5",38,39.63,"D"
"JAVEN JACOBS","UTAH ST",8,"HB",2026,"Pac-12",66.8,10,20,80,4,0,4,0,0,2,24,1.2,56,2.8,0,0.2,0.1,1,0,"UTAH ST",8,"Pac-12",57.2,4,45,1,5,4,27,6.8,0,1,0,0,0,4,0,0,13,3.3,4,0,0.6,3.6,0,0,"100%","0.00%","0.00%",89.2,0.022,0.111,0,"80.00%","Pac-12","G5",75,39.6,"D"
