"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Brit Simmons","LAMAR",23,23,1,45.39,"C-"
"Blake Thomas","LAMAR",63,31.5,2,45.24,"C-"
"Giovanni Adopte","GARD-WEBB",143,71.5,2,45.13,"C-"
"Damir Abdullah","CITADEL",63,63,1,44.96,"C-"
"Matthew Scerbo","LAFAYETTE",37,37,1,44.87,"C-"
"Terrence Honeywood","WOFFORD",95,47.5,2,44.64,"C-"
"D.J. Linkins","STNY BROOK",101,50.5,2,44.55,"C-"
"Matt D'Avino","LEHIGH",45,45,1,44.52,"C-"
"Derrick Miller","HOWARD",22,22,1,44.51,"C-"
"Evan Van Dyke","MERCYHURST",77,38.5,2,44.47,"C-"
"Marcus Mozer","N COLORADO",109,54.5,2,44.32,"C-"
"Tommy Troy","NEWHVN",38,38,1,44.17,"C-"
"Jalile Bost","GARD-WEBB",76,38,2,44.11,"C-"
"Malaqhi Jones","SCAR STATE",63,31.5,2,44.01,"C-"
"Demetrius Pearce","SE MO ST",80,40,2,43.95,"C-"
"Cameron Glenn","TXRG",35,35,1,43.84,"C-"
"Prince Zombo Jr.","UTAHTC",46,46,1,43.79,"C-"
"Dakarai Anderson","CENT ARK",43,43,1,43.62,"C-"
"Roriyon Richardson","TEXAS STHN",100,50,2,43.54,"C-"
"Nick Bierman","LAFAYETTE",20,20,1,43.22,"C-"
"Isaac McMullin","UTAHTC",23,23,1,43.18,"C-"
"Torance Washington Jr.","STHLSK",53,53,1,43.12,"C-"
"Mark Harris","CHISTA",30,30,1,43.01,"C-"
"Kam Phillips","COLGATE",58,58,1,42.92,"C-"
"Lincoln Delaere","DRAKE",17,17,1,42.64,"C-"
"Drew Carlson","E WASHGTON",28,28,1,42.47,"C-"
"Mike Williams","UTAHTC",94,47,2,42.46,"C-"
"Franck Pierre","ALABAMA ST",37,37,1,42.36,"C-"
"KD Dorsey","CHARLES SO",34,34,1,42.17,"C-"
"Chinua Ezeigbo","CAMPBELL",66,33,2,41.99,"C-"
"Noah Colon","HAMPTON",37,37,1,41.87,"C-"
"Snap Reed","N ALABAMA",88,44,2,41.81,"C-"
"Anthony Carter","TENN MARTN",65,32.5,2,41.68,"C-"
"Jamaal Hall II","HOUCHR",42,42,1,39.71,"D+"
"Sean Carter","STF AUSTIN",25,25,1,39.54,"D+"
"Ryan Jezioro","IDAHO",100,50,2,39.43,"D+"
"TJ Smith","CHARLES SO",27,27,1,39.43,"D+"
"Lincoln Fisher","HOLY CROSS",97,48.5,2,39.39,"D+"
"Willie Anderson","BETH COOK",103,51.5,2,39.17,"D+"
"Christian Sabsook","TXRG",53,53,1,39.15,"D+"
"Josiah Brown","LIUSHAR",31,31,1,38.8,"D+"
"Keenan Campbell","N COLORADO",25,25,1,38.79,"D+"
"Jamall Mensah","RHODE ISLD",81,40.5,2,38.63,"D+"
"Myseth Currie","N ARIZONA",43,43,1,38.47,"D+"
"Alex Voss","ELON",51,51,1,38.45,"D+"
"Carson Persing","LAFAYETTE",37,37,1,38.29,"D+"
"Josh Evans","BETH COOK",110,55,2,38.12,"D+"
"Cam Edwards","W ILLINOIS",32,32,1,37.97,"D+"
"Montez Green","GARD-WEBB",80,40,2,37.88,"D+"
"Dylan Evans","MERCYHURST",87,43.5,2,37.86,"D+"
"Malachi Casey","LAMAR",26,26,1,37.86,"D+"
"Antwon Thomas","DUQUESNE",21,21,1,37.82,"D+"
"Jobe Bryant","SE MO ST",61,30.5,2,37.78,"D+"
"Elyjah Mitchell","NORFOLK",106,53,2,37.65,"D+"
"Michael Rossin","W CAROLINA",47,47,1,37.63,"D+"
"Jayvonne Dillard","NC A&T",40,40,1,37.47,"D+"
"Evan Austin","CAMPBELL",39,39,1,37.39,"D+"
"Jayden Simpson","LIUSHAR",28,28,1,37.26,"D+"
"DeArmond Mathews","CHISTA",22,22,1,37.25,"D+"
"Kaleb Washington","TENN MARTN",103,51.5,2,37.25,"D+"
