"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"MICAHI DANZY","FLORIDA ST",64,16.31,"F",8,"WR",2026,"ACC",52.8,2,32,6,4,2,18,9,0,1,1,0,0,3,0,0,5,2.5,0,0,0.56,10.8,1,1,0.667,0.333,"0.00%",62.5,0.063,0.125,0.25,0.5,"P4",0.5,4.5,0.125
"AYDEN GREENE","VA TECH",29,16.19,"F",0,"WR",2026,"ACC",58.8,3,18,4,4,3,23,7.7,0,0,1,0,0,4,0,0,11,3.7,6,0,1.28,4,0,0,0.75,0.25,"0.00%",88.5,0,0.222,0,0.75,"P4",0.75,5.75,0.222222222222222
"BRIAN ROWE JR.","UCLA",44,16.18,"F",2,"WR",2026,"Big Ten",58.9,5,23,8,6,3,28,9.3,0,2,1,0,0,4,1,0,17,5.7,4,0,1.22,6.8,1,0,0.75,0.25,"16.70%",23.6,0.13,0.261,0,0.5,"P4",0.5,4.66666666666667,0.260869565217391
"JAYDEN MOORE","DUKE",40,16.1,"F",8,"WR",2026,"ACC",61.3,3,13,1,3,1,11,11,0,1,0,0,0,1,3,1,1,1,1,0.333,0.85,11.3,0,0,1,0,"100%",45.1,0.077,0.231,0,0.333,"P4",0.333333333333333,3.66666666666667,0.230769230769231
"JUSTIN BOWICK","OKLA STATE",80,15.72,"F",0,"WR",2026,"Big 12",50.2,2,50,23,8,1,6,6,0,0,0,0,0,1,0,0,3,3,1,0,0.12,12.9,0,0,1,0,"0.00%",0,0,0.16,0.125,0.125,"P4",0.125,0.75,0.16
"HAYDEN ELIGON II","NWESTERN",25,15.42,"F",8,"WR",2026,"Big Ten",54.7,0,16,5,1,1,8,8,0,0,0,0,0,1,0,0,4,4,1,0,0.5,4,0,0,1,0,"0.00%",100,0,0.063,0,1,"P4",1,8,0.0625
"JA'CORY THOMAS","VANDERBILT",22,14.94,"F",6,"WR",2026,"SEC",54.4,2,14,0,2,1,17,17,0,1,1,0,0,2,0,0,0,0,0,0,1.21,13.5,1,0,0.5,0.5,"0.00%",79.2,0,0.143,0,0.5,"P4",0.5,8.5,0.142857142857143
"CHRIS HUNTER III","ARIZONA",36,14.73,"F",11,"WR",2026,"Big 12",56.7,2,24,8,4,1,11,11,0,1,0,0,0,1,1,0,4,4,2,0,0.46,10,0,0,1,0,"25.00%",39.6,0,0.167,0,0.25,"P4",0.25,2.75,0.166666666666667
"JALEN MOSS","ARIZONA ST",28,14.46,"F",18,"WR",2026,"Big 12",58.9,3,18,4,2,1,9,9,0,0,0,0,0,1,0,0,9,9,1,0,0.5,11,0,0,1,0,"0.00%",62.5,0,0.111,0.5,0.5,"P4",0.5,4.5,0.111111111111111
"BRAYLON STALEY","TENNESSEE",40,14.35,"F",14,"WR",2026,"SEC",58.3,2,20,1,2,2,8,4,0,1,0,0,0,2,0,0,1,0.5,2,0,0.4,3.5,0,1,1,0,"0.00%",83.3,0.05,0.1,0,1,"P4",1,4,0.1
"SEMAJ MORGAN","UCLA",25,13.83,"F",4,"WR",2026,"Big Ten",55.8,0,15,1,3,2,13,6.5,0,0,0,0,0,2,0,0,1,0.5,2,0,0.87,7,0,0,1,0,"0.00%",75.7,0.2,0.2,0,0.667,"P4",0.666666666666667,4.33333333333333,0.2
"KEATON KUBECKA","KANSAS",36,13.48,"F",3,"WR",2026,"Big 12",58.4,1,18,2,2,1,8,8,0,1,0,0,0,1,0,0,5,5,1,0,0.44,11.5,0,0,1,0,"0.00%",60.4,0.056,0.111,0.5,0.5,"P4",0.5,4,0.111111111111111
"BRAYDEN TRIMBLE","ILLINOIS",29,13.43,"F",11,"WR",2026,"Big Ten",53.3,2,18,2,2,1,11,11,0,1,1,0,0,2,0,0,14,14,7,0,0.61,1.5,0,1,0.5,0.5,"0.00%",66.7,0.056,0.111,0,0.5,"P4",0.5,5.5,0.111111111111111
"TYLER BROWN","CLEMSON",29,13.34,"F",6,"WR",2026,"ACC",55,0,20,1,2,2,11,5.5,0,0,0,0,0,2,0,0,10,5,2,0,0.55,0.5,0,0,1,0,"0.00%",89.6,0,0.1,0,1,"P4",1,5.5,0.1
"THOMAS BLACKSHEAR","GEORGIA",21,13.13,"F",2,"WR",2026,"SEC",56,2,12,0,4,2,15,7.5,0,1,1,0,0,3,0,0,0,0,0,0,1.25,15.8,0,0,0.667,0.333,"0.00%",59.4,0,0.333,0.25,0.5,"P4",0.5,3.75,0.333333333333333
"PHILLIP BELL","OHIO STATE",20,12.6,"F",7,"WR",2026,"Big Ten",53.9,1,16,2,1,1,6,6,0,0,0,0,0,1,0,0,2,2,0,0,0.38,4,0,0,1,0,"0.00%",91.7,0.063,0.063,0,1,"P4",1,6,0.0625
"BRYANT WESCO JR.","CLEMSON",41,12.57,"F",12,"WR",2026,"ACC",54.7,3,27,3,5,2,29,14.5,0,1,1,0,0,3,1,0,4,2,2,0,1.07,7.6,1,0,0.667,0.333,"20.00%",20,0.037,0.185,0,0.4,"P4",0.4,5.8,0.185185185185185
"DE'NYLON MORRISSETTE","PURDUE",27,12.48,"F",8,"WR",2026,"Big Ten",52.6,0,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,"0.00%",39.6,0,0.063,1,0,"P4",0,0,0.0625
"JOHN NEIDER","W VIRGINIA",56,12.48,"F",80,"WR",2026,"Big 12",54.4,0,13,2,2,1,7,7,0,0,0,0,0,1,0,0,3,3,2,0,0.54,13.5,0,0,1,0,"0.00%",58.3,0,0.154,0.5,0.5,"P4",0.5,3.5,0.153846153846154
"CALEB GOODIE SR.","MISSOURI",34,11.55,"F",2,"WR",2026,"SEC",52.7,0,22,1,2,1,5,5,0,0,0,0,0,1,0,0,1,1,0,0,0.23,19.5,0,0,1,0,"0.00%",56.3,0,0.091,0.5,0.5,"P4",0.5,2.5,0.0909090909090909
