"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"CASON HENRY","LOUISVILLE",70,23.51,"D",56.4,49,0.014,0,0.028,0.147,0.083,0,2,0,1
"ANDREW CHAMBLEE","SMU",69,22.53,"D",60.1,56.3,0.043,0,0,0.138,0.1,0,4,0,0
"KADEN SIERACKI","BAYLOR",92,21.85,"D",50.3,56.5,0.011,0,0.018,0.184,0.074,0,3,1,0
"RAKEEM JOHNSON","MICH STATE",88,20.44,"D",67.4,31.7,0.057,0,0.024,0.087,0.071,5,2,1,0
"BENNETT WARREN","MINNESOTA",36,17.84,"F",51.1,0,0.028,94.4,0.056,0.111,0.111,4,1,1,0
"CHIMDIA NWAIWU","FLORIDA ST",36,17.5,"F",57.8,38.4,0,0,0.056,0.056,0.111,1,1,0,1
"DEUCE MCGUIRE","NWESTERN",56,16.1,"F",57.2,62.4,0,0,0,0.037,0.103,0,3,0,0
"CARSTEN CASADY","W VIRGINIA",76,14.63,"F",38.6,30.2,0.04,0,0,0.25,0.063,2,1,0,0
"KEVIN HEYWOOD","WISCONSIN",61,13.38,"F",55.8,34.6,0.016,0,0,0.107,0.061,3,2,0,0
"FISHER ANDERSON","STANFORD",70,5.99,"F",53,28.6,0.014,0,0.021,0.182,0.083,4,3,1,0
"EASTON WARE","CLEMSON",49,1.53,"F",68.2,33.9,0.041,0,0,0.05,0.172,1,5,0,0
"KRISTIAN PHILLIPS","BOSTON COL",78,0,"F",57.6,43.2,0.013,0,0.057,0.12,0.151,2,5,2,1
