"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"JEREMY GREAVES JR.","KENNESAW",32,22.93,"D"
"AMAR THOMAS","JAMES MAD",22,22.89,"D"
"CJ WILSON","LA MONROE",36,22.52,"D"
"KORVER DEMMA","C MICHIGAN",46,22.51,"D"
"ELIAS RUDOLPH","UNLV",32,22.38,"D"
"CALIF SPENCER","CHARLOTTE",18,22.23,"D"
"MARVELL EGGLESTON","E MICHIGAN",26,22.12,"D"
"WILL GERIG","W MICHIGAN",28,21.69,"D"
"EVAN HERRMANN","OHIO",17,21.44,"D"
"WILL SMITH","SO MISS",15,21.44,"D"
"ERNEST WILLOR JR.","JAMES MAD",27,21.2,"D"
"KELVON MCBRIDE","MARSHALL",54,21.17,"D"
"QUANTE GILLIANS","TEMPLE",15,20.94,"D"
"KOLE SNEED","N ILLINOIS",52,20.42,"D"
"ETU FINAU","S JOSE ST",25,20.32,"D"
"JONATHAN BAX","FAU",41,20.14,"D"
"COOPER ROY","MO STATE",20,19.9,"F"
"CHRISTIAN ROSS","S ALABAMA",23,19.7,"F"
"NA'TORI BROWN","LA LAFAYET",17,19.58,"F"
"BRANDON KELLEY","COLO STATE",27,19.35,"F"
"NOAH MATTHEWS","DELAWARE",35,19.33,"F"
"WILL HAVERLAND","OREGON ST",24,19.1,"F"
"TOMMY HUSS","TOLEDO",21,19.01,"F"
"UCHE ILOH","GA SOUTHRN",25,19,"F"
"SETH CLARKE","RICE",20,18.89,"F"
"JEFFERY RUSH JR.","SO MISS",44,18.65,"F"
"JAMAIR DIAZ","TEMPLE",15,16.26,"F"
"CHIBBY NWAJUAKU","RICE",30,15.47,"F"
"JABARI ISHMAEL","MEMPHIS",26,15.07,"F"
"LATREVION THOMPSON","W KENTUCKY",26,14.04,"F"
"DONTERRY RUSSELL","TEXAS ST",42,13.88,"F"
"SCOOP GARDNER JR.","W MICHIGAN",54,13.71,"F"
"BOL BOL","BOISE ST",16,13.27,"F"
"AHMAAD FOSTER","DOMINION",34,12.19,"F"
"BLANCHE GOLD","UAB",16,12.13,"F"
"SAMUEL COHEN","LIBERTY",22,11.95,"F"
"BLAKE SCHILTZ","N DAK ST",16,11.39,"F"
"JORDAN COVINGTON","UNLV",18,10.93,"F"
"BEN BEATTY","WASH STATE",20,9.91,"F"
"FERNANDO LECUONA","WASH STATE",20,9.32,"F"
"DJ BURGESS","CHARLOTTE",24,8.88,"F"
"CHASON CLARK","MARSHALL",24,7.89,"F"
"CURTIS SIMPSON","CHARLOTTE",26,5.34,"F"
"JAYLON JOHNSON","CHARLOTTE",15,0.74,"F"
"ASHLEY WILLIAMS","LA LAFAYET",36,0,"F"
