"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"JORDON THOMAS","W MICHIGAN",18,54.93,"C",67.4,62.7,71.2,NA,4,1,1,0,NA,0,10,5.8,0,10.8,0,0,1,1,0,0,0,0,NA,0,0,1,0,1,0,0,0,0,0.2,1,1,0,1,2,2,1,3,0.75,23,2,1,0,1,0,0.25,0.5,0,0.25,0,0.25,4,0,3,0,0
"TYSON MCCRARY","GA STATE",22,54.71,"C",75.3,74.9,60.1,NA,NA,0,0,0,NA,0,0,0,1,9.5,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"QUENTAVIUS SCANDRETT","BALL ST",47,54.29,"C",61.8,60.5,65.6,56,6,0,3,0,NA,0,6,4,0,3,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.143,2,0,0,0,3,2,1,2,1,8,0,0,0,1,0,0.5,0,0,0,0.25,0,7,0,6,0,0
"ELIJAH HOPKINS","LIBERTY",41,54.27,"C",76.4,84.5,40.6,NA,4,0,3,0,NA,0,0,3.3,1,1.3,3,0,1,0,1,0,0,1,NA,0,0,0,0,1,0,0,0,0,0.333,0,0,0,0,3,1,2,3,0.75,13,1,0,0,3,0,0.75,0.25,0,0,1,0.25,6,0,3,0,0
"DE'MARCUS PETERS","NEW MEX ST",44,54.27,"C",65.6,64.9,64,NA,3,0,2,0,NA,0,0,2.5,1,13.5,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,5,0,0,0,1,0,0.5,0,0,0,0,0,3,0,3,0,0
"MARION MOORE","N DAK ST",15,54.15,"C",75.6,75,60,NA,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"ORMANIE ARNOLD","NEW MEXICO",16,54.09,"C",71,70.4,60,NA,NA,0,0,0,NA,0,0,0,1,42,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"BRAXTON MYERS","W KENTUCKY",22,53.98,"C",67.3,63.8,67.5,NA,3,1,0,0,NA,0,9,0,0,22,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"GRECO CARRILLO","S JOSE ST",20,53.97,"C",71.3,70.8,NA,NA,NA,0,0,0,NA,0,NA,0,1,34,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"ELIAS MULLICAN","SACRAMENTO",21,53.96,"C",72.1,71.2,62.3,NA,1,0,1,0,NA,0,NA,NA,NA,NA,1,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,NA
"DENZEL CHAVIS","TEMPLE",36,53.73,"C",62.1,58.2,71.1,NA,1,0,1,0,NA,0,8,0,1,37,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"DEUCE WALKER","GA STATE",25,53.71,"C",71.8,71.6,61.2,NA,2,0,0,0,NA,0,0,0,1,9,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"KYLE WILLIAMS","ARK STATE",21,53.12,"C",69.2,68,64.8,NA,3,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
"JQ BROOKS","JVILLE ST",50,52.93,"C",68.9,66.8,70.5,NA,6,2,1,0,NA,0,7,17,0,16,1,1,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,17,1,0,0,1,0.05,1,1,0,0,0,0,6,0,3,0,0
"TEDDY FOSTER","USF",56,52.71,"C",69.4,67.1,73.5,NA,4,0,2,0,NA,0,3,7,0,4.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,21,1,0,0,3,0,1,0.333,0,0,0,0,4,0,3,0,0
"LATAJ WRIGHT","W KENTUCKY",36,52.69,"C",68,67.3,65.5,NA,3,1,0,0,NA,0,7,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"CALEB COLEY","E MICHIGAN",23,52.31,"C",69.2,67.4,66.1,NA,3,0,0,0,NA,0,8,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"TJ CRANDALL","OREGON ST",69,52.12,"C",64.5,72.6,36.4,NA,5,3,1,0,NA,0,0,16.7,1,31.7,1,1,0,1,3,2,0,0,NA,0,0,0,0,0,0,0,0,0,0.375,0,0,0,3,4,1,3,2,0.667,50,1,0,0,0,0.028,0,0.333,0,0,0.6,0,8,0,5,0,0
"MARSHALL WASHINGTON","N ILLINOIS",42,52.07,"C",60.8,57.3,70.2,59.6,3,1,1,0,NA,0,6,0,1,5,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ZION JONES","NEVADA",42,52.06,"C",65.4,64.3,65.4,NA,7,1,1,0,NA,0,0,4.9,3,11.8,1,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,6,2,5,0.625,39,2,0,0,5,0,0.625,0.25,0,0,0,0,7,0,4,0,0
"KSHAWN COX JR.","DELAWARE",35,51.47,"C",73,71.1,64.2,60,1,0,0,0,NA,0,0,3.5,0,17.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,7,1,1,0,0,0,0,0.5,0,0.5,0,0,1,0,1,0,0
"JALIL TUCKER","WASH STATE",40,51.43,"C",56.1,55,62.3,NA,1,0,0,1,NA,0,0,3.5,1,23.5,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0.25,14,1,1,0,1,0,0.25,0.25,0,0.25,0,0,1,0,1,0,0
"PHILLIP GLADNEY","GA SOUTHRN",24,51.19,"C",68.4,67.3,64,NA,2,1,1,0,NA,0,4,4,0,4,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
"JIQUAVIOUS MARSHALL","LIBERTY",32,51.15,"C",57.2,60.3,50.6,NA,2,1,0,1,NA,0,7,1,0,9,0,0,1,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,4,3,2,1,0.333,3,0,2,0,0,0,0,0,0,0.667,0.5,0.5,4,0,3,0,0
"KENDALL GRIFFIN","WYOMING",32,50.99,"C",69,67.7,65.7,NA,2,0,1,0,NA,0,3,5,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"KYREN CONDOLL","RICE",38,50.93,"C",67.2,66.7,62.9,NA,2,0,1,0,NA,0,0,5.8,2,18.4,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.4,29,1,1,0,2,0.05,0.4,0.2,0,0.2,0,0,2,0,2,0,0
"NOAH FLORES","ARK STATE",41,50.87,"C",57.7,66.1,44.4,NA,3,0,2,0,NA,0,13.5,0,0,0,1,0,0,0,2,0,0,0,NA,0,1,0,0,0,0,0,0,0,0.4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,1,0,0
"BAILEY FLETCHER","RICE",22,50.67,"C",66.6,65.1,64.7,NA,1,0,0,0,NA,0,5,0,0,39,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"AMARIYUN KNIGHTEN","MIAMI OH",33,50.5,"C",58.7,61.9,62.6,NA,2,0,0,1,NA,0,0,1.3,1,10.8,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0.25,5,1,1,0,2,0,0.5,0.25,0,0.25,0,0,2,0,0,0,0
"DECORIAN THOMPSON","UTEP",33,50.35,"C",67.7,66.3,66.1,NA,1,0,0,0,NA,0,3,0,1,18,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ELLIS ELLIS JR.","MEMPHIS",34,50.3,"C",71.4,71.2,60.7,NA,NA,0,0,0,NA,0,0,0,1,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"JAION JACKSON","C MICHIGAN",55,50.28,"C",52.9,57.8,64.9,60,4,2,1,1,NA,0,4,2.8,1,5.2,0,0,2,0,1,2,0,0,NA,0,0,0,0,0,0,0,0,0,0.429,1,0,0,2,7,6,2,2,0.4,14,2,1,0,1,0,0.2,0.4,0,0.2,0.25,0.667,7,0,2,0,0
"ASHTON LEVELLS-MITCHELL","E CAROLINA",44,50.23,"C",63.6,62.4,65.3,60,4,1,2,0,NA,0,3.5,9.3,1,14,1,1,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,1,0,0,1,2,1,0,2,0.667,28,1,0,0,1,0.048,0.333,0.333,0,0,0.25,0,5,0,4,0,0
"JAMAREY SMITH","WASH STATE",51,50.12,"C",66.1,66.9,59.9,57.9,4,1,1,0,NA,0,0,5.5,1,4.2,1,1,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,5,0.833,33,1,0,0,5,0.03,0.833,0.167,0,0,0,0,4,0,2,0,0
"CALEB PRESLEY","COLO STATE",55,50.07,"C",67.9,67.3,66.6,58.3,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"KHAMARI TERRELL","WASH STATE",57,50.03,"C",63.7,60.8,72.1,NA,5,1,0,0,NA,0,4,2,0,26,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0.5,4,0,0,0,1,0,0.5,0,0,0,0,0,5,0,3,0,0
"JAMEEL CROFT JR.","CHARLOTTE",62,49.75,"C",66.6,65.6,67.3,59.3,3,1,0,0,NA,0,9,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0,3,0,0
"E'ZAIAH SHINE","TULANE",74,49.73,"C",62.3,66.2,47.7,70.1,1,0,1,0,NA,0,1,0,2,11,0,0,0,0,2,0,0,0,NA,1,0,0,0,0,0,0,0,0,0.667,1,0,1,0,3,1,1,0,0,0,0,1,0,1,0,0.333,0,0,0.333,0.667,0,3,0,2,0,0
"TRACY HILL JR.","GA SOUTHRN",19,49.71,"C",67.3,63.6,69.8,59.2,1,0,1,0,NA,0,2,0.5,1,5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,1,0,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0
"TERENCE THOMAS","AKRON",39,49.67,"C",51.1,54.4,49.7,57.2,3,0,3,0,NA,0,-1,2,2,23,2,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.25,1,1,0,0,4,2,0,1,0.333,6,0,0,0,0,0,0,0,0,0,0,0.333,4,0,2,0,0
"IAN BELL","WYOMING",45,49.56,"C",63.7,62.6,65.4,NA,6,0,0,1,NA,0,4,10.6,2,9.6,0,2,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,6,0.667,95,3,1,0,4,0.069,0.444,0.333,0,0.111,0,0,6,0,6,0,0
"BRYCE GRAYS","UTSA",47,49.46,"C",64.9,61.4,63.2,73.7,3,1,1,0,NA,0,0,6.8,1,4,1,0,1,1,0,0,0,0,NA,1,0,0,0,0,1,0,0,0,0.25,0,0,1,1,2,2,1,3,0.75,27,1,0,0,4,0,1,0.25,0,0,0,0.25,4,0,2,1,0
"MACHO STEVENSON","TULANE",20,49.33,"C",65,64.4,61.5,NA,1,0,1,0,NA,0,0,1.3,1,6.7,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.333,4,0,1,0,2,0,0.667,0,0,0.333,0,0,1,0,1,0,0
"JAYDEN JACKSON","GA SOUTHRN",34,49.23,"C",72.5,77.1,45.1,NA,1,1,0,0,NA,1,0,10.3,0,24,0,1,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,2,1,1,1,0.333,31,1,1,0,1,0.045,0.333,0.333,0.333,0.333,1,0,2,0,2,0,1
"FABO CHANEY","GA SOUTHRN",21,49.11,"C",66.6,66.3,60,NA,2,0,2,0,NA,0,0,4.3,1,7,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.75,17,1,0,0,2,0,0.5,0.25,0,0,0,0,2,0,2,0,0
"DONTRAE HENDERSON","ARK STATE",62,48.94,"C",69.3,65.8,75.2,58.3,5,1,0,0,NA,1,8,14.8,0,21.5,0,2,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,0.75,59,2,0,0,1,0.111,0.25,0.5,0.25,0,0,0,5,0,3,0,1
"CORDARIAN POWELL","TEXAS ST",31,48.72,"C",67.9,67.3,63.2,NA,3,0,1,0,NA,0,0,8,0,11,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.667,24,1,1,0,1,0.059,0.333,0.333,0,0.333,0,0,3,0,3,0,0
"ROMELO WALKER","N ILLINOIS",33,48.59,"C",61.9,59.6,67.7,NA,5,2,1,0,NA,0,6,12,0,11,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,2,1,24,2,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0
"HERLIN PERRY JR.","USF",27,48.33,"C",64.5,63.3,63.9,NA,3,0,1,0,NA,0,7,4.3,1,8.3,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.667,13,0,0,0,1,0,0.333,0,0,0,0,0,3,0,2,0,0
"CHASE USHER","CHARLOTTE",36,48.32,"C",63.3,58,71.2,NA,2,1,0,0,NA,0,19,0,1,11,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0
"JOJO JOHNSON","BOWL GREEN",59,48.18,"C",63.5,63.2,62.1,NA,4,0,1,0,NA,0,54,5.3,1,4.7,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,3,2,1,2,0.667,16,1,0,0,2,0,0.667,0.333,0,0,0.25,0,4,0,1,0,0
"JOSIRA ANDREWS","BOWL GREEN",42,48.07,"C",57.8,49.6,78.7,58.3,5,2,2,0,NA,0,2,9.8,1,13.3,1,1,0,0,0,2,0,1,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,2,3,3,0,3,0.75,39,3,0,0,2,0.043,0.5,0.75,0,0,0,0,5,0,4,0,0
"BLAKE THOMPSON","OREGON ST",29,48.04,"C",57.8,55.3,67.7,59.1,5,2,0,0,NA,0,0,6,1,23.7,0,1,0,0,0,2,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,2,0.667,18,1,0,0,0,0.071,0,0.333,0,0,0,0,5,0,2,0,0
"TYLER BIVENS","KENT STATE",23,48.01,"C",69,68.6,61.2,NA,2,0,0,0,NA,0,0,3.7,1,8.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.667,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"TYRELL RUSSELL","TOLEDO",55,47.68,"C",66.8,63.3,75.8,NA,2,0,1,0,NA,0,0,5.3,0,15.3,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.333,1,1,0,0,2,2,1,2,0.667,16,1,1,0,0,0,0,0.333,0,0.333,0,1,3,0,2,0,0
"CAM ROBINSON","NAVY",19,46.89,"C",70.5,69.6,63.5,NA,2,1,1,0,NA,0,0,12.3,1,17.8,1,1,1,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0.333,0,0,0,1,1,1,2,2,0.5,49,1,0,0,0,0.077,0,0.25,0,0,0,0.5,3,0,2,0,0
"JAHMIR TORRES","NEW MEXICO",24,46.82,"C",60.6,56.1,67.9,NA,2,0,0,0,NA,0,6.5,0,2,29,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,2,0,2,0,0
"TONY-LOUIS NKUBA","UNLV",52,46.61,"C",66.1,65.6,62.9,NA,4,0,0,0,NA,0,0,5.3,0,16.7,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0.333,16,1,1,0,1,0.028,0.333,0.333,0,0.333,0,0,4,0,3,0,0
"TAY'VION LAWSON","KENNESAW",26,46.47,"C",67.1,66.9,61.2,NA,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"JAYLON EDMOND","HAWAII",58,45.74,"C",49.9,40.6,76.3,NA,4,1,3,0,NA,0,3.67,11,1,19.8,0,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,4,0,1,0.25,44,1,0,0,1,0.043,0.25,0.25,0,0,0,0,4,0,2,0,0
"DIONTE THORNTON","SACRAMENTO",26,45.67,"C",63,57.7,70.9,60,2,0,1,0,NA,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0.333,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,3,0,NA
"THERMAN WILLIAMS","WYOMING",33,45.66,"C",66.9,66.4,63.1,NA,2,0,2,0,NA,0,0,5,0,3.5,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,10,1,0,0,2,0,1,0.5,0,0,0,0,2,0,1,0,0
"KHALIL ANDERSON","MO STATE",16,45.64,"C",66.3,65.8,60.8,NA,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"JONATHAN AKINS","E CAROLINA",21,45.54,"C",68.1,67.5,61.7,NA,1,0,1,0,NA,0,0,1.3,2,12.3,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,1,1,0.333,4,0,0,0,2,0,0.667,0,0,0,0,0.5,2,0,1,0,0
"DARIUS JOHNSON JR.","GA STATE",25,45.05,"C",61.4,66.5,47.1,NA,2,0,0,0,NA,0,16,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"PEYTON TAYLOR","N TEXAS",32,45.05,"C",63.7,57.8,73.1,NA,2,1,1,0,NA,0,-3,8,0,8,0,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,8,1,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0
"DJ VOLTZ","N DAK ST",21,44,"C",66,65.5,61,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"DEYLEN PLATT","USF",17,43.98,"C",64.8,65.5,59.9,60,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0
"ADRIAN LAING","TEMPLE",17,43.7,"C",65.7,65.3,60.2,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"LAWRENCE BROWN JR.","UTSA",21,43.69,"C",65.6,64.8,62.1,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"PHILIPP DAVIS","MARSHALL",16,43.68,"C",60.5,55.3,67.6,NA,4,0,2,0,NA,0,10,9,0,5,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,18,1,0,0,2,0,1,0.5,0,0,0,0,4,0,4,0,0
"JORIAN HAYNES","DOMINION",17,43.59,"C",65.6,64.8,61.4,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"CAM'RON BARBER","W MICHIGAN",17,43.38,"C",65.3,64.8,60.5,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"MALIQUE HARRELL","GA STATE",18,43.31,"C",65.2,64.2,62.3,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"GIONNI MCBRIDE","MO STATE",16,43.29,"C",65.2,64.5,61.1,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
"JACKSON LOWE","MIDDLE TN",42,43.17,"C",61.4,61.5,61.1,58.9,3,2,1,0,NA,0,5,8.7,1,6.3,0,1,0,0,1,2,0,0,NA,0,0,0,0,0,0,0,0,0,0.25,1,0,0,2,2,1,0,2,0.667,26,1,0,0,2,0.056,0.667,0.333,0,0,0.25,0,4,0,0,0,0
"CAM JONES","TOLEDO",62,43.13,"C",58.8,54.4,68.8,59.3,6,0,3,0,NA,0,2.75,11.3,0,9.5,0,2,1,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.25,3,1,0,0,4,3,0,4,1,45,3,0,0,1,0.091,0.25,0.75,0,0,0.2,0.333,8,0,7,0,0
"DAMILL BOSTIC JR.","COAST CAR",53,42.83,"C",65.2,65.3,62.3,NA,2,0,0,0,NA,0,0,8.5,1,28,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,17,1,0,0,0,0.083,0,0.5,0,0,0,0,2,0,1,0,0
"BRANDON CRUTCHFIELD","DOMINION",41,42.39,"C",64.9,62,70.5,NA,3,2,0,0,NA,0,0,9.5,0,9,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,2,1,19,2,0,0,2,0,1,1,0,0,0,0,3,0,1,0,0
"JASON HAGGERTY","MARSHALL",16,42.11,"C",64.1,62.4,62.4,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0
