"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"ZACH RUFFIN","MEMPHIS",46,54.34,"C",72.6,67.8,67.2,70,6,0,5,1,0,1,0.5,0,33.3,1,NA,0,3.6,0,8.3,0,1,0,1,2,0,0,0,NA,0,0,1,0,0,0,0.143,4,1,1,0,1,0,4,3,2,3,0.6,25,2,0,0,3,0,0.6,0.4,0.2,5,0,0,0.333,7,0,6
"GAVIN SELL","N DAK ST",17,53.96,"C",69,67.4,62.8,63.8,4,1,2,0,1,0,NA,0,NA,NA,NA,1,NA,0,NA,1,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0,2,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,4
"DERRELL FARRAR","LIBERTY",48,53.89,"C",73.4,76.8,56.6,65,5,2,0,0,1,0,8,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
"SAM ROBINSON","USF",57,53.73,"C",71.2,68.6,90.2,57.5,5,2,0,0,1,0,2,0,118.8,0.82,NA,1,12,1,13.5,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2,0,2,1,27,1,0,0,1,0.03,0.5,0.5,0,13.5,0,0,0,5,0,2
"ALONZO JACKSON JR.","LA TECH",27,53.43,"C",88.2,67.2,56.8,90.6,3,1,1,1,0,0,-2,0,40.3,1.78,NA,0,7.3,1,8,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,2,2,0.667,16,1,0,0,1,0,0.333,0.333,0.333,5.3,0,0,0,3,0,3
"TERRENCE COOKS II","TEXAS ST",33,53.38,"C",62.1,70.3,54.5,57.1,8,1,3,3,0,1,-0.25,0,104.2,1.8,NA,0,1.3,1,9,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.111,3,0,3,1,1,1,3,2,0,3,1,27,2,0,0,3,0,1,0.667,0,9,0,0,0.2,9,0,5
"DJ JOHNSON JR.","E CAROLINA",53,53.14,"C",68.1,61.9,57.5,71.3,5,1,1,0,1,0,6.33,0,39.6,0,NA,0,19,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
"JORDAN OWENS","BUFFALO",28,52.89,"C",60.1,70.4,57.6,54.5,5,2,2,0,2,0,3,0,39.6,0.13,NA,0,3,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,1,1,2,3,2,1,1,0.25,2,0,0,0,4,0,1,0,0,0.5,0,0,0,5,0,3
"AIDAN THOMPSON","JVILLE ST",29,52.88,"C",67.3,56.2,81.3,65.7,7,2,2,0,2,0,4.5,1,87.5,0.71,NA,1,-4,0,5,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.125,1,1,0,0,2,2,4,0,0,1,1,5,0,0,0,1,0,1,0,0,5,0,0.2,0,8,0,3
"AARON ALEXANDER","N TEXAS",35,52.33,"C",69.7,69.6,61.1,62.3,7,1,3,0,1,0,3.83,1,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.125,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,8,0,8
"BRADY KERPERIN","N ILLINOIS",19,52.07,"C",52.2,60.7,72,39.7,4,1,2,1,1,0,4.67,0,39.6,0,NA,0,4,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"NOAH FLEMMINGS","LA MONROE",46,51.96,"C",63.3,56.3,56,67.6,8,2,3,0,2,0,4.25,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4
"TORY GETHERS","NEW MEX ST",44,51.82,"C",64.6,73.3,60,55.8,7,1,3,1,1,0,3.8,0,118.8,0.58,NA,0,6,0,14,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,2,1,1,0,0,1,2,1,0,1,1,14,0,0,0,1,0,1,0,0,14,0,0,0,7,0,4
"SONE AUPIU","NEW MEX ST",36,51.66,"C",59.3,66.3,54.6,56,5,1,2,1,1,0,2.5,0,78.5,1.67,NA,1,6.5,0,7.5,0,0,1,0,1,0,0,0,NA,0,0,1,0,1,0,0,1,1,1,1,1,1,4,3,2,4,0.667,30,2,1,0,3,0,0.5,0.333,0.167,5,0.167,0,0,5,0,5
"ZAKYE BARKER","N TEXAS",36,51.59,"C",67.8,79.1,53,50.1,8,4,3,0,4,1,2.5,0,118.8,3.67,NA,1,13,0,22,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0.111,3,0,0,1,1,4,4,1,0,1,1,22,1,0,0,1,0.167,1,1,0,22,0,0,1,9,0,1
"SIMEON HARRIS","FRESNO ST",49,51.55,"C",70.7,69.7,57.9,69,8,2,2,0,2,0,11.5,1,98.3,1.46,NA,1,3.4,0,9.5,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0.111,0,2,0,1,1,2,1,1,2,4,0.8,38,1,0,0,4,0.039,0.8,0.2,0,7.6,0,0.2,0,9,0,4
"BRANDON TYSON","GA SOUTHRN",20,51.53,"C",72.2,69.6,69.3,62.1,2,0,2,0,0,0,2,0,39.6,0,NA,0,6,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
"MARIO THOMPSON","DOMINION",47,51.48,"C",72.9,64.8,72.1,71,4,2,1,0,1,0,0,1,91.7,0.32,NA,1,-2,1,6,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.2,0,1,0,1,3,2,2,0,1,1,1,6,0,0,0,1,0,1,0,0,6,0,0.5,0,5,0,3
"TYREE ALUALU","TEMPLE",17,51.11,"C",94.6,66.8,59.5,93.1,2,0,0,0,0,0,0,0,0,0.45,NA,0,9.3,0,5,0,0,1,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.25,5,0,1,0,3,0,0.75,0,0.25,1.3,0.25,0,0,2,0,2
"FATA PULOKA","SACRAMENTO",23,50.97,"C",76.8,74.2,55.4,72.5,4,1,3,0,0,0,NA,0,NA,NA,NA,0,NA,1,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,4
"ALFRED THOMAS","KENNESAW",18,50.78,"C",83.4,78.9,NA,72.1,4,1,3,0,1,0,2.5,0,79.2,0.67,NA,0,-3,0,3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,2,1,6,0,0,0,2,0,1,0,0,3,0,0,0,4,0,3
"CARSON SLOAN","APP STATE",22,50.73,"C",70.2,81,63.9,50.3,6,1,2,1,1,0,2.33,0,85.4,0.82,NA,0,3.5,0,4.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,1,1,1,2,2,0,2,1,9,2,0,0,2,0,1,1,0,4.5,0,0,0,6,0,5
"WESLEY EDISON","SO MISS",26,50.53,"C",69,72.1,57.5,62.7,2,1,1,0,1,0,3,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"TYWON CHRISTOPHER","KENNESAW",29,50.11,"C",73.6,75.5,57.1,69.2,4,0,4,1,0,0,0,0,77.9,1.82,NA,0,-0.4,0,10.3,0,0,0,0,1,0,1,0,NA,1,0,0,0,0,0,0,2,2,2,0,0,0,2,1,2,3,0.6,31,1,0,0,4,0.059,0.8,0.2,0,6.2,0,0,0,4,0,2
"MAKAI WILLIAMS","TULANE",23,50.01,"C",66.5,64.4,59.3,64.9,4,1,1,1,1,0,0,0,87.5,0.5,NA,1,5,0,5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0,4,0,2
"COOPER MAU","N ILLINOIS",15,49.83,"C",66.5,64.5,NA,63.3,4,2,1,0,2,0,5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"DORION JACKSON","TULANE",21,49.63,"C",68.3,68.3,59.4,62.9,2,0,1,1,0,0,0.5,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"COLTON PHARES","APP STATE",34,49.43,"C",78.5,68.7,62.1,77.5,2,0,1,0,0,0,0,0,2.8,0.81,NA,0,4.8,0,6.5,0,0,1,0,2,0,0,0,NA,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,2,2,0.333,13,1,1,0,4,0,0.667,0.167,0.167,2.2,0.167,0,0,2,0,1
"WESTEN ARD","W KENTUCKY",34,49.35,"C",54.8,52.2,56.3,64.1,6,4,2,1,3,0,3,4,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.4,2,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,9,0,3
"ALOSIO MALUIA","NEVADA",31,49.07,"C",69.8,78.1,57.7,56.3,9,2,2,0,2,0,5.67,0,100,0.67,NA,0,4,0,8,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,1,1,8,1,0,0,1,0,1,1,0,8,0,0,0,9,0,4
"JT HOOTEN","JAMES MAD",53,48.8,"C",69.7,71.2,58.8,64.7,4,1,2,1,1,1,2.67,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.2,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3
"MIKE KING JR.","SM HOUSTON",21,48.33,"C",69.2,63.5,69.8,62.2,2,0,1,1,0,0,0,1,0,0,NA,0,0,0,0,1,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.333,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,2
"DREW ESPER","C MICHIGAN",35,47.71,"C",75.7,90.6,54.8,58,4,1,1,0,1,0,5,0,112.5,1.1,NA,1,7,0,11,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,11,1,0,0,1,0,1,1,0,11,0,0,0,4,0,2
"BRANDON TUCKER","UTSA",33,47.42,"C",67.2,71.1,68.1,60.4,4,0,2,0,0,0,3.5,0,39.6,0.52,NA,1,11.5,0,12,0,0,0,1,2,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,2,1,0.25,12,1,0,0,2,0,0.5,0.25,0,3,0,0,0,4,0,2
"JAKE ST. ANDRE","LA LAFAYET",51,47.38,"C",66.6,57.6,76.5,65.1,5,1,3,1,0,0,0.67,0,79.2,0.96,NA,0,12,1,12.5,0,0,0,0,0,0,1,0,NA,0,0,1,0,0,0,0,3,0,1,2,2,1,5,2,2,2,1,25,2,0,0,2,0.039,1,1,0.5,12.5,0,0,0,5,0,3
"MARCELLIUS PULLIAM","COAST CAR",67,47.14,"C",57.7,58.5,58.9,57.5,11,4,5,0,3,1,3,2,85.4,0.75,NA,0,2,1,4.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.214,4,1,0,0,0,4,9,2,1,2,1,9,1,0,0,1,0,0.5,0.5,0,4.5,0,0.182,0.333,14,0,6
"CAMERON COOPER","S DIEGO ST",37,46.89,"C",72.8,77.2,NA,65.8,6,2,1,0,1,0,5,0,108.3,0.4,NA,0,5,1,10,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,10,1,0,0,0,0,0,1,0,10,0,0,0,6,0,4
"LUKE HODGE","TROY",19,46.5,"C",74.1,68.8,62.3,65.4,2,0,1,1,0,0,-1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"NATE FISCHER","FAU",20,46.29,"C",76.2,78.2,56.9,64.7,3,0,2,0,0,0,5.67,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
"JUSTYCE BETTS","W MICHIGAN",19,46.01,"C",70.7,71.9,59.5,63.8,4,0,3,0,0,0,2.67,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"CHARLIE CHRISTOPHER","OHIO",57,45.17,"C",66.8,73.5,56.1,58.6,7,2,2,1,1,1,8.2,1,68.8,0.55,NA,0,-1,1,12,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.222,2,0,1,0,0,2,3,1,0,1,0.5,12,1,0,0,2,0,1,0.5,0,6,0,0.143,0.5,9,0,4
"JORDAN DONALD","W KENTUCKY",36,45.16,"C",53.7,60.6,65.5,42.9,4,3,1,0,3,0,3,0,158.3,2.33,NA,2,3,0,14,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,1,0,0,2,2,3,4,1,0,1,1,14,1,0,0,0,0,0,1,0,14,0,0,0,4,0,1
"AIDAN VAUGHAN","LIBERTY",32,44.89,"C",56.3,70.2,56.2,53.7,6,2,3,1,2,0,7.5,1,95.8,2.5,NA,0,12.5,0,30,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0.25,3,0,1,0,0,2,4,2,0,1,0.5,30,1,0,0,2,0.083,1,0.5,0,15,0,0.143,0,8,0,4
"HARRISON TAGGART","UTAH ST",46,44.68,"C",68.4,55.9,79.3,66.8,5,1,1,0,1,0,9,1,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0.167,0,1,0,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,3
"ASHTON TAYLOR","MIDDLE TN",34,44.54,"C",55.1,52.4,70.5,55.4,4,2,2,1,2,0,0.5,3,39.6,0,NA,0,8,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,1,0.429,2,0,1,0,0,2,7,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.429,0,7,0,3
"TIM THOMAS","SACRAMENTO",23,44.46,"C",67.2,69.5,55.7,62.4,2,1,1,0,1,0,NA,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,1
"BARRY MANNING","E MICHIGAN",24,44.44,"C",71.7,61.9,59.4,73,4,1,2,0,0,0,5,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0.2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,4
"ALEX ROCHA","SACRAMENTO",17,44,"C",67.3,68.4,59.3,62.3,2,1,1,0,1,0,NA,0,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,1
"JACKSON BARKER","E CAROLINA",32,43.88,"C",60.4,58.1,57.2,63.3,3,2,0,0,2,0,5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"ELIJAH GROVES","SM HOUSTON",23,43.83,"C",59.6,51.2,78.8,60,3,0,3,0,0,1,1,0,0,0,NA,1,0,0,0,2,1,0,0,0,1,0,1,NA,0,0,0,0,0,0,0.25,1,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,4,0,4
"MIKE MONTGOMERY","MEMPHIS",54,43.62,"C",63.5,78.3,59.1,51.9,9,3,2,0,3,1,6.2,0,135.4,3.1,NA,0,5.5,0,45,0,0,0,0,2,0,2,0,NA,0,0,0,0,1,0,0.1,2,0,0,0,0,3,3,2,0,2,0.5,90,1,0,0,4,0.069,1,0.25,0,22.5,0,0,0.5,10,0,7
"DIEGO AVILES","GA SOUTHRN",21,43.44,"C",65.7,65.8,NA,61.7,2,1,1,0,1,0,7,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"ZAVIER HAMILTON","USF",21,43.34,"C",69.1,70.8,59.5,64.1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"SHAY SMITH","UTEP",25,42.34,"C",54.6,57.4,46.8,63.2,7,2,0,0,2,2,6,0,0,0,NA,0,0,0,0,0,2,0,0,0,1,0,0,NA,0,0,0,0,0,1,0.222,0,0,0,2,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,5
"SIONE HALA","S DIEGO ST",67,42.16,"C",71.8,78.5,68.2,63.1,11,2,2,0,0,2,4.83,0,97.5,0.97,NA,0,5,2,9.3,0,0,0,0,1,2,1,0,NA,1,0,0,0,0,0,0.154,1,1,1,0,0,2,3,3,2,4,0.8,37,2,0,0,5,0.026,1,0.4,0,7.4,0,0,0.286,13,0,7
"KARSON MOSS","KENNESAW",18,42.04,"C",61.2,66.4,NA,57.7,2,1,1,0,1,0,0,0,39.6,0,NA,0,12,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TJ BURKHALTER","TEXAS ST",15,42.03,"C",65.6,66.4,57.8,60,1,0,1,1,0,0,-3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A.J. ODOM","BOWL GREEN",18,42.01,"C",65.7,64.3,58.7,62.4,3,1,0,0,1,0,7,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"DONOVAN WOOLEN","N DAK ST",18,41.9,"C",66,64.9,62,62,1,0,1,0,0,0,NA,0,NA,NA,NA,1,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,1,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1
"JAMARRI VINSON","UTSA",15,41.71,"C",62.8,60.9,NA,62.5,3,2,0,0,2,0,4,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.25,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0,2
"GAVIN FORSHA","BALL ST",29,41.41,"C",65.4,81.7,59.5,47.8,5,1,3,1,1,1,0.67,0,116.7,1,NA,0,8,0,12,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,3,0,1,0,0,1,3,2,0,1,1,12,1,0,0,1,0,1,1,0,12,0,0,0.5,6,0,2
"JOB GRANT","NAVY",36,41.22,"C",60.1,65.7,59.2,55.3,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TREYLIN PAYNE","TEXAS ST",18,41.21,"C",58,65.3,NA,54.5,1,0,1,1,0,0,-2,0,39.6,0,NA,0,17,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"KHAMANI POTTS","COLO STATE",23,41.17,"C",53,54.4,54.9,60,3,2,1,0,2,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"ASHER CUNNINGHAM","UTAH ST",37,40.69,"C",64.4,75.8,65.3,49.1,6,1,2,1,0,1,6.8,0,95.8,0.5,NA,0,4,1,7,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0.143,2,0,1,0,0,1,3,2,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0.5,7,0,6
"XAVIER WHITE","C MICHIGAN",45,40.69,"C",64.6,61.8,56.4,66.5,5,1,1,0,1,0,2.5,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,4
"BRETT MCCALLA","C MICHIGAN",57,40.67,"C",66.6,63.4,61.2,66.3,7,1,1,0,1,0,4,1,100,0.3,NA,1,-5,0,8,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.125,1,0,0,0,1,1,2,0,0,1,1,8,0,0,0,1,0,1,0,0,8,0,0.167,0,8,0,10
"KESHAWN THOMAS","APP STATE",15,40.51,"C",64.4,69.9,52.8,63,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KOLBE FIELDS","LA TECH",28,40.24,"C",66.2,68.5,54.6,63,3,0,3,1,0,0,0.67,0,95.8,0.78,NA,0,4,0,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0,3,0,2
"CONOR MCPHERSON","LA LAFAYET",50,40.01,"C",65.2,61.2,59.7,66.1,6,2,3,0,1,1,3.33,1,79.2,0,NA,0,-2,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0.25,2,1,1,0,0,2,4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0.2,0.333,8,0,3
"ERIC BUTLER JR.","GA STATE",15,39.75,"D",65.8,64.2,NA,62.9,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RAY JAMES JR.","N DAK ST",20,39.64,"D",53,63.9,67.4,47.6,3,2,0,0,1,0,NA,0,NA,NA,NA,0,NA,1,NA,0,0,0,0,NA,1,NA,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,1
"MONTRELL CHAPMAN","DOMINION",16,39.48,"D",61.7,56.6,61.4,64,3,1,2,0,0,0,2,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"CHRIS THOMPSON JR.","TULSA",81,39.42,"D",60.8,60.5,71,58.3,8,1,1,0,1,0,4,0,111.1,1.39,NA,0,8.3,0,12.8,0,1,0,0,1,0,2,0,NA,0,1,0,0,0,0,0,1,0,0,2,2,1,6,3,1,5,0.833,64,3,0,0,4,0.043,0.667,0.5,0,10.7,0,0,0,8,0,8
"PERCY COURTNEY JR.","FIU",26,39.35,"D",67.6,66.6,62.6,62.6,2,0,2,0,0,0,3,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"DEE CRAYTON","UNLV",39,39.34,"D",61,66.7,59.5,58.3,1,0,1,0,0,0,3,0,39.6,0,NA,0,4,0,0,0,1,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1
"AUSTIN HARNETIAUX","RICE",27,38.79,"D",63,71.2,NA,56.1,2,2,0,0,1,1,0,0,39.6,0,NA,0,1,1,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.333,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,1
