"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"LUKE DOUGLAS","APP STATE",25,8.45,"F",4,0,1,1,0,0,59.5,0,1.33,83.3,0,-1,5,0,0,0,0,3,0,1,0,0,0.333,0,0,1,0,1
"JAKE FURTNEY","OHIO",25,8.18,"F",0,0,2,1,0,0,51.8,1,0,56.3,0,0,3,0,0,0,0,17,0,1,0,0.059,0.118,0,0,1,0,0.5
"GLEN WEBER","N ILLINOIS",20,8.1,"F",5,0,1,1,0,0,57.2,0,0.83,87.5,0,1,4,0,0,0,0,6,0,1,0,0.167,0.167,0,0,1,0,1
"GRANT MCATEE","TULSA",11,7.79,"F",5,0,1,1,0,0,56.4,0,0.83,87.5,0,0,5,0,0,0,0,6,0,1,0,0,0.167,0,0,1,0,1
"DILLON HIPP","MO STATE",21,7.58,"F",5,0,1,1,2,0,53.1,0,0.36,87.5,0,3,2,0,0,0,0,14,0,1,0,0,0.071,0,0,1,0,1
"JACKSON WORLEY","TROY",60,7.46,"F",4,0,1,1,1,0,55.1,0,0.57,83.3,0,2,2,0,0,0,0,7,0,1,0,0,0.143,0,0,1,0,1
"JAMEL HOWSE","APP STATE",22,7.29,"F",0,0,1,0,0,0,49.3,1,0,39.6,0,0,27,0,0,0,0,13,0,0,0,0,0.077,1,0,0,0,0
"TAYVION GALLOWAY","MIDDLE TN",26,7.28,"F",7,0,1,1,0,0,51.4,0,0.54,95.8,0,2,5,0,0,0,0,13,0,1,0,0,0.077,0,0,1,0,1
"ROD GIBBS","S ALABAMA",67,6.92,"F",6,0,2,1,2,0,47.9,0,0.19,56.3,0,2,10.5,0,0,0,0,32,0,1,0,0.031,0.063,0,0,1,0,0.5
"WILL SWARTZ","RICE",29,6.89,"F",0,0,0,0,0,0,55.4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"GAVIN CORREIA","FRESNO ST",25,6.69,"F",5,0,1,1,0,0,51.4,0,0.26,87.5,0,0,5,0,0,0,0,19,0,1,0,0,0.053,0,0,1,0,1
"BEN GRICE","RICE",32,6.22,"F",-8,0,2,2,0,0,54.1,0,-0.57,79.2,0,0,-4,0,0,0,0,14,0,2,0,0,0.143,0,0,1,0,1
"REED JESIOLOWSKI","KENNESAW",45,5.94,"F",0,0,1,1,0,0,53.4,0,0,79.2,0,0,0,0,0,0,0,15,0,1,0,0.067,0.067,0,0,1,0,1
"DOMINIC TOY","COLO STATE",41,5.54,"F",0,0,1,0,0,0,52.1,0,0,39.6,0,0,32,0,0,0,0,9,0,0,0,0.111,0.111,1,0,0,0,0
"MATT BYRNES","UNLV",37,5.47,"F",0,0,2,0,0,1,35.1,0,0,39.6,0,0,17.5,0,1,0,0,7,0,1,0,0,0.286,0.5,0,0,1,0
"LOGAN MAULDIN","CHARLOTTE",16,5.28,"F",0,0,1,0,0,0,55,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0.143,0.143,0,0,0,0,0
"CC EZIRIM","W KENTUCKY",38,4.97,"F",0,0,1,0,0,0,51.9,1,0,39.6,0,0,-2,0,0,0,0,15,0,0,0,0,0.067,0,0,0,0,0
"SAM LEE","TOLEDO",28,4.76,"F",0,0,1,0,0,0,38.8,2,0,39.6,0,0,3,0,1,0,0,15,0,1,0,0,0.067,0,0,0,1,0
"AIDAN O'CALLAGHAN","MEMPHIS",20,4.73,"F",0,0,0,0,0,0,58.5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"TY STAMEY","TEXAS ST",21,4.13,"F",0,0,0,0,0,0,54.3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"AJ MILLER","OHIO",25,3.84,"F",0,0,0,0,0,0,52.3,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"TROY GRIZZLE","BOISE ST",15,3.45,"F",0,0,1,0,0,0,55.4,0,0,39.6,0,0,6,0,0,0,0,3,0,0,0,0,0.333,0,0,0,0,0
"MAX MOSEY","RICE",16,2.94,"F",0,0,1,0,0,0,41.3,1,0,39.6,0,0,3,0,1,0,0,3,0,1,0,0.333,0.333,0,0,0,1,0
"GUS MCGEE","CHARLOTTE",38,2.89,"F",0,0,1,0,0,0,53.1,0,0,39.6,0,0,4,0,0,0,0,9,0,0,0,0,0.111,0,0,0,0,0
"JEWLYEN ROBERTS","TULSA",22,2.46,"F",0,0,1,0,0,0,49.4,0,0,39.6,0,0,6,0,0,0,0,6,0,0,0,0,0.167,0,0,0,0,0
"GAVIN SPILLERS","C MICHIGAN",12,2.32,"F",0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EZRA BURGESS","ARK STATE",19,2.31,"F",0,0,0,0,0,0,59.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JOEY SCHLAFFER","TEMPLE",14,2.29,"F",0,0,0,0,0,0,59.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CARTER ECK","NEVADA",16,2.26,"F",0,0,0,0,0,0,59.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GABRIEL CLINE","UAB",13,2.26,"F",0,0,0,0,0,0,59.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"JACK LUA","S DIEGO ST",14,2.25,"F",0,0,0,0,0,0,59.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DAVIS LANE","RICE",50,2.2,"F",0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SIMON MAPA","NEW MEXICO",34,2.2,"F",0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ZY'AIRE FLETCHER","KENT STATE",13,2.17,"F",0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"VANCE BOLYARD","TULANE",14,1.96,"F",0,0,0,0,0,0,57.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"BRADY RHOADS","CHARLOTTE",15,1.91,"F",0,0,0,0,0,0,57.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
