"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"DAWSON MERRITT","NEBRASKA",23,50.24,"C",70.7,72.1,59.2,65.2,4,1,1,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"AUSTIN ROMAINE","TEXAS TECH",49,50.17,"C",78.4,79.3,78.2,64.9,2,0,2,0,0,0,0,1,NA,79.2,-2,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3
"LIONA LEFAU","COLORADO",34,49.96,"C",72,87.9,47.7,59.3,7,2,2,2,0,4,1,1,NA,118.8,22,22,1.57,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0.125,1,1,1,1,1,2,2,1,0,1,1,22,1,0,0,0,0.071,0,1,0,22,0,0,0.25,8,0,1
"WHIT WEEKS","LSU",31,49.85,"C",73.4,71.1,54.7,71.3,4,0,4,0,0,-1,0,2,NA,95.8,-2,7,0.41,0,2,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,2,2,2,2,2,0,2,0,1,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0.333,5,0,7
"GRANT GODFREY","KENTUCKY",42,49.72,"C",71.8,65.5,59.8,71.1,5,3,1,1,0,0,0,0,NA,91.7,1.5,6,0.46,2,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,1,2,2,1,12,1,0,0,1,0,0.5,0.5,0,6,0,0,0,5,0,3
"MALCOLM JONES","IOWA STATE",22,49.3,"C",73,74.4,NA,62.7,3,0,2,0,0,-2.67,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
"JOHNATHAN HALL","UTAH",29,48.68,"C",60,78,55.9,48.9,1,1,0,1,0,0,1,0,NA,39.6,14,0,0,0,1,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AMARE CAMPBELL","TENNESSEE",28,48.58,"C",74.6,69.8,69.2,68.8,6,0,4,0,0,1.5,0,1,NA,72.9,2.7,5.5,1.29,0,0,2,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0.143,2,2,1,1,1,0,2,0,0,4,0.667,22,0,0,0,4,0,0.667,0,0,3.7,0,0,0.2,7,0,6
"AARON CHILES","FLORIDA",53,48.5,"C",76.4,66.1,56.3,78.7,3,0,2,0,0,9,0,0,NA,42.4,2.7,3,0.1,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,1,0.333,3,0,2,0,1,0,0.333,0,0,1,0.667,0,0,3,0,3
"BEN CUTTER","W VIRGINIA",27,48.41,"C",72.9,76.4,59.5,63.4,2,0,2,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"JERRY MIXON","OREGON",39,48.17,"C",77.5,75.5,NA,71.8,3,1,1,1,0,2,0,0,NA,39.6,-2,0,0,0,0,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0.25,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0.5,0,0,0,0.5,0,0.5,4,0,1
"TY MORRIS","RUTGERS",40,48.01,"C",66.7,64,61.7,64.9,4,1,3,1,2,2,2,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0.333,3,0,0,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,6,0,4
"BRIAN HUFF","MISSOURI",17,47.75,"C",80.8,68.6,90.9,56.2,3,0,1,0,1,11,1,0,NA,39.6,-7,0,0,0,0,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.4,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.333,0.5,5,0,5
"CHRIS JONES","FLORIDA ST",53,47.61,"C",52.3,64.2,60.3,43,10,3,3,3,1,7.17,0,1,NA,114.6,0,11.5,1.1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.091,3,0,1,1,1,3,7,2,0,2,1,23,2,0,0,2,0,1,1,0,11.5,0,0.1,0,11,0,6
"LUKE MERGOTT","DUKE",50,47.52,"C",76,68.9,67,73,5,0,1,0,0,5,2,0,NA,85.7,1.3,4.6,1.19,0,2,0,0,1,0,1,1,0,NA,0,0,1,0,0,0,0,0.167,0,1,0,3,4,0,3,3,2,7,1,32,2,0,0,6,0.037,0.857,0.286,0,4.6,0,0,0.25,6,0,4
"JAMES KREUTZ","ILLINOIS",47,47.45,"C",71.4,71.5,65.9,63.2,4,1,1,1,1,4.67,0,0,NA,39.6,2,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0,4
"MARTELL HUGHES","ARIZONA ST",23,47.45,"C",62.9,73.7,59.5,62.8,2,1,1,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"REGGIE POWERS III","OKLAHOMA",34,47.41,"C",65.2,79.3,59,51.1,5,0,2,0,0,2.75,0,1,NA,39.6,26,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"KALEB BURNS","BAYLOR",32,47.31,"C",69.4,77.9,56.6,61,3,1,1,1,0,3,0,1,NA,62.5,1,9,0.56,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0.5,9,0,1,0,1,0,0.5,0,0,4.5,0.5,0,0,3,0,1
"JADEN ROBINSON","FLORIDA",48,47.16,"C",65.3,71.7,55.4,67.2,5,1,3,1,0,3.5,0,0,NA,79.2,-2,3,0.12,0,2,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.167,2,1,0,1,2,1,2,1,1,1,1,3,0,0,0,1,0,1,0,0,3,0,0,0.333,6,0,2
"NOAH MIKHAIL","TEXAS A&M",23,46.84,"C",72.9,65.3,59.4,72.2,6,1,3,1,1,2,0,1,NA,87.5,5,5,0.42,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,2,1,1,0,0,1,2,0,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0.2,0,7,0,5
"DEVON JACKSON","OREGON",55,46.63,"C",72.5,73.4,65.8,64.9,5,3,1,3,0,2,0,0,NA,149.3,1.3,22.5,1.88,0,0,1,0,0,1,1,0,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,2,0.667,45,1,0,0,2,0.042,0.667,0.333,0,15,0,0,0,5,0,2
"FRED JOHNSON","S CAROLINA",32,46.62,"C",70.6,62.4,60,71.2,3,2,1,2,0,0,0,0,NA,56.3,-0.8,-1,-0.12,0,0,2,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,0,1,0,0,0,2,1,0,1,2,0.5,-2,0,0,0,3,0,0.75,0,0,-0.5,0,0,0.5,4,0,2
"TREY REDDICK","MARYLAND",15,46.57,"C",80.2,78.7,59.5,70.9,3,1,1,1,0,6,0,0,NA,79.2,1,1,0.13,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,2
"ETHAN WESLOSKI","OKLA STATE",58,46.04,"C",62.7,56.6,63.7,65.2,7,1,5,1,1,3,0,1,NA,79.2,5.2,2,0.35,0,0,1,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0.222,4,1,1,0,0,1,6,1,2,4,0.8,8,1,0,0,4,0,0.8,0.2,0,1.6,0,0.167,0.333,9,0,8
"ISAIAH CHISOM","OKLA STATE",31,46.02,"C",69.8,72.4,54.9,65.2,4,1,1,1,0,4,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"BODIE KAHOUN","BOSTON COL",39,45.63,"C",63.2,55.3,74.4,62.4,3,0,2,0,0,2,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,2,0,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"FILIP MACIOROWSKI","CINCINNATI",25,45.39,"C",59.7,59.9,69.5,56.1,5,1,2,1,0,6,3,0,NA,87.1,6.8,14,2.47,0,0,1,1,3,0,1,0,0,NA,0,0,0,0,0,0,0,0.375,0,2,0,2,3,1,5,4,3,3,0.6,42,1,0,0,4,0.059,0.8,0.2,0,8.4,0,0,0.5,8,0,5
"MALACHI CURVEY","KANSAS",15,45.05,"C",68.8,69.5,59.1,62.1,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CAM SMITH","PENN STATE",17,45.04,"C",69.1,63.8,67.2,64.5,4,1,3,0,1,2.67,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.2,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0,3
"PRAYER YOUNG-BLACKGOAT","ARIZONA ST",16,44.89,"C",73.2,74,NA,65,4,1,2,1,0,5,0,0,NA,79.2,1,2,0.18,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,1,0,0,2,0,0,0,4,0,3
"CARSON WILLICH","IOWA STATE",28,44.79,"C",62.1,64,59.4,59.5,6,1,4,1,1,3,0,1,NA,83.3,1.7,4,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0.143,3,1,2,0,0,1,4,1,1,3,1,12,1,0,0,2,0,0.667,0.333,0,4,0,0.2,0,7,0,5
"LUKE METZ","ALABAMA",20,44.54,"C",62.4,57.7,65.2,62,4,2,1,2,1,6,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,0,2
"QUINCY DAVIS","KANSAS",31,44.36,"C",70.1,72.5,60,63.6,4,1,2,1,0,3,0,0,NA,64.6,4.5,10,0.59,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0.5,10,1,0,0,1,0,0.5,0.5,0,5,0,0,0,4,0,3
"BRANDON MIYAZONO","SMU",22,44.17,"C",55.3,49,NA,63.4,5,1,3,1,1,-2.5,0,2,NA,39.6,9,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.167,2,1,2,0,0,1,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0,6,0,5
"QB REESE","ALABAMA",16,44,"C",73.1,68.4,69,63.2,2,0,1,0,0,4.5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"DEMARCO WARD","PITTSBURGH",18,43.96,"C",77.9,68.1,60,77.1,5,0,5,0,1,0.67,0,1,NA,79.2,-1.3,3,0.9,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.167,3,2,1,0,0,0,1,0,2,3,1,9,0,0,0,3,0,1,0,0,3,0,0.25,0,6,0,6
"KEDRICK WALKER","BAYLOR",19,43.95,"C",59.8,72,58.2,61.3,2,0,1,0,0,3,1,1,NA,39.6,16,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
"MATTHEW SMITH","NWESTERN",18,43.75,"C",67.5,NA,65.8,61.7,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,1,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,3,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0
"SHERROD COVIL","VA TECH",26,43.63,"C",62.7,59.1,66.7,61.4,1,0,1,0,0,-1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TREY REYNOLDS","UTAH",24,43.56,"C",75,67.1,57.1,73.8,2,0,1,0,0,4,0,0,NA,0,-4,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
"LANDYN VAN KEKERIX","IOWA",17,43.29,"C",72.8,65.4,NA,70,2,0,1,0,0,1,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"GIDEON ESPN LAMPRON","COLORADO",56,42.94,"C",74.2,71,56,73.4,8,1,4,0,1,4,0,0,NA,78.1,2.3,4.3,0.54,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.111,2,2,0,0,0,1,2,0,1,3,0.75,13,0,0,0,4,0,1,0,0,3.3,0,0.25,0,9,0,6
"NICK MORRIS JR.","DUKE",25,42.93,"C",74.7,69.6,NA,71.1,6,1,2,1,0,2.5,0,0,NA,118.8,13,16,1.45,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,1,0,0,1,1,1,0,0,1,2,1,2,1,1,16,1,0,0,1,0.091,1,1,0,16,0,0,0,6,0,2
"TRAVION BARNES","BAYLOR",50,42.88,"C",66,63.5,74.2,61.2,6,1,4,1,0,3.5,0,0,NA,93.8,3,6.5,0.96,0,0,0,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,2,2,0,0,0,1,5,2,1,4,1,26,1,0,0,3,0,0.75,0.25,0,6.5,0,0,0,6,0,5
"DAVHON KEYS","LSU",16,42.09,"C",65.4,69,57.7,60.2,2,0,2,0,0,-7,0,1,NA,39.6,12,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"KEATON THOMAS","OLE MISS",43,42.03,"C",56.8,56,55.5,60.5,7,2,5,2,1,3,0,1,NA,118.8,5,22,1.57,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0.125,3,2,2,0,0,2,5,1,1,1,1,22,1,0,0,1,0.071,1,1,0,22,0,0.167,0,8,0,3
"XAVIER ATKINS","AUBURN",88,42.02,"C",62.1,56.7,91.8,43.2,6,1,2,1,3,4,0,1,NA,68.8,12.5,12,0.35,0,1,0,1,1,3,0,1,0,NA,0,0,0,0,0,0,0,0.4,1,1,1,1,3,1,9,3,0,1,0.5,12,1,0,0,2,0,1,0.5,0,6,0,0.375,0.5,10,0,8
"KELLEN WILEY JR.","MIAMI FL",15,41.96,"C",69.2,70.8,57.4,63.3,7,1,2,1,0,4,0,0,NA,95.8,4,7,1.75,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0,7,0,5
"OMAR GRAHAM JR.","FLORIDA ST",47,41.83,"C",66.1,67.7,54.1,65.6,7,2,2,1,0,3.33,0,0,NA,118.8,11,18,1.06,1,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,1,1,1,18,1,0,0,1,0.059,1,1,0,18,0,0,0,7,0,5
"BEAU GOODWIN","IOWA STATE",19,41.76,"C",75.1,68.7,NA,69.3,2,0,1,0,0,2.5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"SIMEON COLEMAN","CINCINNATI",49,41.63,"C",57.8,53.2,56.1,62.2,7,1,4,0,1,3.25,1,1,NA,79.2,2,1,0.03,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.125,3,1,1,1,1,1,5,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0.2,0,8,0,7
"TRISTAN EXLINE","IOWA STATE",17,41.37,"C",72.9,68.8,64.2,60.3,3,0,2,0,1,2.33,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,0,3
"ISMAEL KANTE","ILLINOIS",62,41.34,"C",65.6,65.2,70.8,60.1,4,1,2,1,0,1.5,0,0,NA,75,0.5,15,1.11,0,2,2,0,1,0,1,1,0,NA,0,0,0,0,0,0,0,0.2,2,0,0,1,2,1,6,2,0,2,0.5,30,2,0,0,4,0.037,1,0.5,0,7.5,0,0,0.5,5,0,3
"CALEB LAVALLEE","FLORIDA ST",26,41.23,"C",69.3,68.4,57.6,66.1,2,1,1,1,0,-2,0,1,NA,66.7,7.5,11,0.79,0,0,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0.333,1,0,1,0,0,1,2,1,1,1,0.5,11,0,1,0,1,0,0.5,0,0,5.5,0.5,0,1,3,0,3
"JADYN WALKER","USC",16,41.17,"C",75.1,65,NA,72.5,2,0,1,0,0,0,0,0,NA,39.6,6,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"AJ TUITELE","CAL",21,41.12,"C",64.4,71.4,NA,67.2,5,1,1,0,0,4.67,0,0,NA,95.8,8,7,0.54,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0,5,0,3
"BRADY PRETZLAFF","MICH STATE",44,40.77,"C",70,66,67.8,66.8,4,1,3,0,0,1,0,0,NA,91.7,5.5,6,0.5,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,1,12,0,0,0,2,0,1,0,0,6,0,0,0,4,0,2
"MONTREZE SMITH JR.","IOWA STATE",18,40.63,"C",73.2,72.5,64.4,65,2,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"KOOPER EBEL","PENN STATE",28,40.32,"C",68.2,42.4,63.1,82.7,4,0,4,0,1,-1,1,1,NA,67.9,1,6.3,1.73,0,0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0.2,1,3,1,1,1,0,4,1,4,3,0.6,19,1,0,0,2,0,0.4,0.2,0,3.8,0,0.5,0,5,0,6
"BRAXTON LINDSEY","BYU",18,40.2,"C",66,64.7,62.3,60,2,0,1,0,0,11.5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TRENT HENDRICK","UCLA",16,39.9,"D",66.2,68.7,55.1,61.7,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TACKETT CURTIS","UCF",26,39.66,"D",62.2,56.1,52.5,71.5,3,0,2,0,0,5,0,0,NA,79.2,-1,-1,-0.14,0,1,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,3,0,2
"HUDSON MILLER","PURDUE",17,39.33,"D",65.3,80.5,59.2,51.1,2,0,2,0,0,-1,0,2,NA,95.8,3,7,0.78,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,1,1,7,0,0,0,1,0,1,0,0,7,0,0,0,2,0,1
"ELIJAH BARNES","KENTUCKY",43,39.32,"D",66.8,62.6,60,66.9,8,2,1,1,1,7,0,0,NA,88.2,4.7,11,0.92,1,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0.111,1,0,0,0,0,2,3,1,1,2,0.667,22,1,1,0,2,0.042,0.667,0.333,0,7.3,0.333,0.167,0,9,0,3
"RAYLEN WILSON","GEORGIA",15,39.19,"D",73.7,62.5,NA,71.5,2,0,2,0,0,0,0,0,NA,87.5,5,5,0.42,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0,2,0,2
"XE'REE ALEXANDER","WASHINGTON",28,39.14,"D",66.6,64,66.9,62.2,4,1,3,0,1,1.67,0,2,NA,108.3,-5,10,0.91,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.333,3,0,2,1,1,1,2,1,0,1,1,10,0,0,0,1,0,1,0,0,10,0,0.25,0.5,6,0,4
"DASH FIFITA","ARIZONA",17,38.99,"D",62.1,50.1,68.3,62.5,2,0,2,0,1,8,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.333,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,3
"CHASE SMITH","MIAMI FL",44,38.94,"D",56.3,60.4,55.3,56.7,5,0,1,0,0,0,0,1,NA,39.6,3,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"RYAN SCOTT","TENNESSEE",15,38.64,"D",71,58.5,NA,72.8,3,1,2,0,1,0,0,1,NA,56.3,3,3,0.43,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,1,1,1,0,0,1,1,0,1,1,0.5,3,0,0,0,2,0,1,0,0,1.5,0,0.5,0,4,0,2
"ANTOINE DESLAURIERS","SYRACUSE",33,38.12,"D",61.6,68,NA,54.8,3,2,0,2,0,2,0,0,NA,70.8,-1.5,13,0.81,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0.5,13,1,0,0,2,0,1,0.5,0,6.5,0,0,0,3,0,1
"BRADLEY SHAW","ARKANSAS",31,37.97,"D",58.5,70.2,57.4,52.9,3,1,0,1,0,5,0,0,NA,70.1,8.3,3,0.33,0,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0.667,6,0,0,0,3,0,1,0,0,2,0,0,0,3,0,4
"JEREMIAH MARCELIN","PITTSBURGH",48,37.64,"D",60.5,74.9,56.1,53.5,2,0,2,0,0,1.5,0,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.333,2,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3
"JD MCKINLEY","CAL",40,36.82,"D",48.8,38.7,54.2,65.8,3,3,0,1,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"DONAVYN PELLOT","UCLA",32,36.76,"D",65.7,52.4,47.8,81.2,2,1,1,1,2,0,1,0,NA,56.3,4,-1,-0.08,0,0,0,0,1,0,0,0,1,NA,0,1,0,0,0,0,1,0.6,0,1,1,1,1,1,3,0,2,1,0.5,-1,0,1,0,1,0,0.5,0,0,-0.5,0.5,0.667,0.5,5,0,2
"DANTE MCCLELLAN","MISSOURI",26,36.37,"D",60.9,53.1,58.5,65.9,3,0,3,0,0,1,0,2,NA,56.3,0,1,0.08,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.25,3,0,2,0,0,0,4,1,1,1,0.5,1,0,0,0,1,0,0.5,0,0,0.5,0,0,1,4,0,4
"WILL FELDER JR.","DUKE",19,36.35,"D",63.9,68.3,59.8,60.7,4,0,2,0,0,3,0,0,NA,62.5,9.5,9,0.75,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0.5,9,0,0,0,1,0,0.5,0,0,4.5,0,0,0,4,0,4
